city,Deidentified_paragraph,ask a genuine question,ask a rheorical question,provide a fact or claim,provide an observation,express their opinion,express others opinions,money aid allocation,government critique,societal critique,solutions/interventions,personal interaction,media portrayal,not in my backyard,harmful generalization,deserving/undeserving,racist
southbend,The ranks of the homeless and addicted have grown in [ORGANIZATION] and [LOCATION]. That growth puts stress on assistance facilities and programs.,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0
southbend,"Since [ORGANIZATION], [ORGANIZATION] has made community investments supporting low to moderate income individuals and neighborhoods totaling more than 93 million in [ORGANIZATION]. This involves lending for affordable housing, small businesses, mortgage and home improvements as well as transformative philanthropy.",0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,0
southbend,"For another illustration, see [ORGANIZATION], [PERSON], where a new downtown is being built for a suburban city with no existing walkable downtownon 105-acre former [INSTITUTION] site see rendering at top of article. Downtown [ORGANIZATION]s plan comprises 2,300 residential units, including substantial affordable housing, and 1.7 million square feet of commercial uses, such as a grocery store, shops, restaurants, a movie theater, and office space. There will be 18 publicly accessible parks and civic spaces.",0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
southbend,"The stubborn persistence of racial segregation in [ORGANIZATION] schools can be traced back to [ORGANIZATION] v. PERSON1, a pivotal [ORGANIZATION] case decided DATE0 DATE1. ORG1 HOMELESS CHILDREN A sobering new report says there could be more than 15,000 homeless children DATE2 or younger in [PERSON], with more than one in 10 in several rural counties lacking stable housing. ORG2 [ORGANIZATION] ASK Gov. [PERSON] is reviewing a proposal from the [ORGANIZATION] that asks for [PERSON] to improve the district high school.",0,0,3,0,2,0,0,1,0,1,0,0,0,0,0,0
southbend,[ORGANIZATION]. Former [ORGANIZATION] Secretary [PERSON] toured a homeless camp in [ORGANIZATION] on [ORGANIZATION] and said more affordable housing is needed to ease the crisis of people living on the streets. He proposed a plan in [LOCATION] that calls for 40 billion in [ORGANIZATION] funding for the national ORG1. The money would go toward creating 3 million affordable apartments over [ORGANIZATION] in an effort to end homelessness.  [PERSON],0,0,3,0,1,0,3,0,0,3,0,0,0,0,0,0
southbend,[ORGANIZATION] housing plan is similar in scope to Senators [PERSON] and PERSON2 housing plans. He will invest 430 billion to create access to affordable housing for over 7 million households and to create an additional 2 million housing units through creation and preservation initiatives. He also plans on working to reform local zoning laws.,0,0,3,0,1,0,3,0,0,3,0,0,0,0,0,0
southbend,"His goal includes one million new African-American homeowners. For local governments, [ORGANIZATION] wants streamline investments to address the housing crisis by building on President [PERSON], [ORGANIZATION] initiative by driving an interagency effort from [ORGANIZATION]. The PERSON1 DATE0 initiative was created to give technical assistance to local governments in order to execute their economic vision and strategies through public and private partnerships.",0,0,3,0,0,1,1,0,0,2,0,0,0,0,0,0
southbend,"He will also establish navigator services to help tenants find and secure housing. Additionally, [ORGANIZATION] plans to cut the homeless population in half using existing federal resources coupled with initiatives by local governments. He wants to double federal spending on homelessness from under 3 billion to 6 billion DATE0. He says he will increase federal support for housing-first strategies and provide housing-search support and short-term rental assistance. As preventative measures, he wants to expand the promotion of rapid-rehousing and permanent supportive housing, providing stability to the chronically homeless to address issues such as substance use disorder and mental-health services where needed and serving as a bridge to rental assistance. He will also integrate homeless support with critical wrap-around services and expand federal grants to cities that implement effective homelessness prevention programs. In order to increase housing supply, [ORGANIZATION] plans on increasing funding for the Low Income Housing Tax Credit and prioritizing new transportation funding for areas that have undertaken progressive zoning reform and reward municipalities that support affordable housing development in neighborhoods with good schools, transportation, and economic opportunity. He will also provide funding for public housing by streamlining [ORGANIZATION] program and increasing funding to [ORGANIZATION].",0,0,3,0,0,2,3,0,0,3,0,0,0,0,0,0
southbend,"Hes called for creating an independent agency to protect Section 8 renters from discriminatory landlords, fully funding the existing [ORGANIZATION] at 1 billion over [ORGANIZATION] and ensuring formerly incarcerated residents are not excluded from public housing options. [ORGANIZATION] wants to use 25,000 ORG1 units in [LOCATION] for homeless households and also double the funding for the ORG2 homelessness assistance grants to over 26 billion over DATE2 to build permanent supportive housing. Additionally, he plans on providing 500 million in funding to states and localities for homeless outreach programs. [ORGANIZATION] also wants to invest 50 billion over [ORGANIZATION] to provide grants for community land trusts and other shared equity homeownership models and invest an additional 15 billion to enact a 21st Century Homestead Act, which will revitalize abandoned properties and historically disadvantaged communities.",0,0,3,0,0,1,3,0,0,3,0,0,0,0,0,0
southbend,"He survived the vetting that goes with getting a top security clearance and in [ORGANIZATION] signed on as an ensign in [ORGANIZATION]. [ORGANIZATION] tells us, perhaps too often, that in [LOCATION] he had to take time off from the [ORGANIZATION] mayors office because hed been called up for a DATE2 deployment in Afghanistan.6 [PERSON]-dogging Mayor [PERSON] with ORG1 outside a [ORGANIZATION] campaign visit to a [INSTITUTION] in [PERSON]. PERSON2  [ORGANIZATION] A failed campaign for state treasurer and, after winning two terms as mayor, a strategically useful but unsuccessful bid to become chairman of ORG2 put some starch in his political collar.",0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
