city,Deidentified text,ask a genuine question,ask a rhetorical question,provide a fact or claim,provide an observation,express their opinion,express others opinions,money aid allocation,government critique,societal critique,solutions/interventions,personal interaction,media portrayal,not in my backyard,harmful generalization,deserving/undeserving,Racist
south bend,"3535 [ORGANIZATION] ([ORGANIZATION])
[PERSON] 135

Unwanted Person

Caller advising of a homeless person sleeping on the property. The person has been asked to leave multiple times. 

#[PERSON]",0,0,3,1,0,2,0,0,0,0,1,0,1,0,1,0
south bend,[USER] Ran GPE0 into a shit.  hole. High crime and homelessness. Taxes went through the roof. Don’t be a hypocrite,0,0,3,0,2,1,0,3,1,0,0,0,0,0,0,0
south bend,"#[PERSON]: A [ORGANIZATION] family served [ORGANIZATION] dinner to more than 100 homeless people [LOCATION], and are planning on helping even more DATE2!

[LOCATION]",0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
south bend,PERSON0 You couldn’t even fill the potholes in [ORGANIZATION]. You forced Americans out of jobs and affordable housing to favor illegals. [ORGANIZATION] is still a shithole.,0,0,3,0,2,1,0,3,0,1,0,0,0,2,2,1
south bend,"Local organizations teaming up and camping out to raise awareness and collect donations for those who are homeless in [ORGANIZATION]. [USER] has more on the seventh DATE0 ""Sleep-Out for the Homeless""
[URL]",0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0
south bend,"813 S. FAC0 ([ORGANIZATION])
[ORGANIZATION] 

[TIME]: They advised this was NOT a car that rolled over. Sounds like they said  “cart”. The patient is alert.

#SouthBend [URL]",0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
south bend,Group behind new low-barrier [INSTITUTION] in [ORGANIZATION] embarks on next steps [URL],0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0
south bend,"Since you're all here, please consider donating to [ORGANIZATION]. They do wonderful work for the poor, and your kindness is especially appreciated during the frigid [ORGANIZATION]. [URL]",0,0,3,0,3,1,2,0,0,2,0,0,0,0,0,0
south bend,"[ORGANIZATION], a #nationwide #nonprofit #provider of affordable #multifamily #housing for older #adults, held a ground-breaking #ceremony for FAC0 in [ORGANIZATION], [PERSON].

[URL]",0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0
south bend,"[USER] Even with the homeless in the middle of FAC0, [ORGANIZATION] is such a shit hole with the [ORGANIZATION]’s WORST stadium.",0,0,3,0,3,0,0,1,0,0,0,0,2,1,1,0
south bend,[USER] Sandwiches for the many homeless in [PERSON].,0,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0
south bend,[USER] so my question is can we show at least a *LITTLE* bit of interest in [ORGANIZATION]'s homeless feat. addicted and mentally ill population? Like my personal idea was previously a recorded sit-down discussion between certain members of the [ORGANIZATION] and specific members of-,3,0,2,0,3,0,0,0,2,2,0,0,0,0,0,0
