category,mechanism,n,gold_pos_2of3,prevalence_2of3,any_pos_rate,split_rate,unanimity_rate,mean_vote_rate_p,P_o,P_e,kappa_like,PABAK
media portrayal,sparsity_degeneracy,1702.0,11.0,0.006462984723854289,0.0699177438307873,0.06933019976498238,0.9306698002350177,0.02565609087348218,0.953779866823345,0.9500042882508524,0.07551804825654942,0.9075597336466901
deserving/undeserving,sparsity_degeneracy,1702.0,23.0,0.013513513513513514,0.08519388954171563,0.08401880141010576,0.9159811985898942,0.033294163728946335,0.9439874657265962,0.9356286752189271,0.12985270283153805,0.8879749314531924
express others opinions,boundary_subjectivity,1702.0,112.0,0.06580493537015276,0.2679200940070505,0.2591069330199765,0.7408930669800236,0.11417939678809243,0.827262044653349,0.7977150757256004,0.1460660948102493,0.6545240893066979
societal critique,boundary_subjectivity,1702.0,152.0,0.08930669800235018,0.30141010575793187,0.2902467685076381,0.7097532314923619,0.13396004700352526,0.8065021543282412,0.7679704943793229,0.16606362128750174,0.6130043086564825
not in my backyard,sparsity_degeneracy,1702.0,42.0,0.024676850763807285,0.10399529964747356,0.10164512338425381,0.8983548766157462,0.043674108891500196,0.9322365844104974,0.9164666377919328,0.18878620711188848,0.8644731688209948
racist,sparsity_degeneracy,1702.0,5.0,0.002937720329024677,0.027614571092831962,0.025851938895417155,0.9741480611045829,0.010771641206423814,0.982765374069722,0.9786887740957122,0.19128885369234283,0.965530748139444
solutions/interventions,boundary_subjectivity,1702.0,678.0,0.3983548766157462,0.6927144535840188,0.5716803760282021,0.42773207990599293,0.4057971014492754,0.6400313356835096,0.5177483721907162,0.2535667200301346,0.2800626713670191
provide an observation,moderate_agreement,1702.0,148.0,0.08695652173913043,0.24618096357226793,0.2209165687426557,0.7790834312573442,0.11946729338033686,0.8527222875048963,0.7896102816145731,0.2999766641386159,0.7054445750097926
government critique,moderate_agreement,1702.0,203.0,0.11927144535840188,0.2696827262044653,0.23736780258519388,0.7626321974148061,0.14042303172737955,0.8417547982765374,0.7585911922242581,0.34449284107949635,0.6835095965530749
express their opinion,boundary_subjectivity,1702.0,907.0,0.5329024676850764,0.7285546415981199,0.48296122209165687,0.5170387779083431,0.5023501762632198,0.6780258519388954,0.5000110466569364,0.3560374766116393,0.35605170387779084
money aid allocation,boundary_subjectivity,1702.0,309.0,0.18155111633372503,0.4036427732079906,0.32314923619271446,0.6762632197414806,0.22209165687426558,0.7853505679592635,0.6544660943577818,0.37878908976592746,0.570701135918527
provide a fact or claim,high_base_rate_kappa_paradox,1702.0,1420.0,0.8343125734430082,0.9347826086956522,0.2990599294947121,0.700352526439483,0.8021934978456717,0.8041519780650215,0.6826418202804041,0.3828801825495046,0.608303956130043
personal interaction,sparsity_degeneracy,1702.0,80.0,0.04700352526439483,0.12162162162162163,0.10517038777908343,0.8948296122209166,0.06169212690951822,0.9298864081472776,0.8842275832262039,0.3943843118545674,0.8597728162945553
harmful generalization,moderate_agreement,1702.0,118.0,0.06933019976498238,0.21210340775558167,0.19506462984723855,0.8043478260869565,0.10125342734038385,0.8911084998041519,0.817997658415581,0.4017027514706974,0.7822169996083037
ask a rhetorical question,sparsity_degeneracy,1702.0,148.0,0.08695652173913043,0.1310223266745006,0.099882491186839,0.900117508813161,0.08303956130043087,0.9334116725421072,0.8477120148810742,0.5627473342306542,0.8668233450842144
ask a genuine question,sparsity_degeneracy,1702.0,113.0,0.06639247943595769,0.11927144535840188,0.09165687426556991,0.9077555816686251,0.07265961613787701,0.9561300430865648,0.8652396073588533,0.6744595644637481,0.9122600861731296
