Gold n=1702; baseline A gap=+37.49 pp (from stored Qwen zero-shot)
/Users/jonathankarr/Documents/Multidomain-PEH-Classification/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
Loading mlx-community/Qwen2.5-7B-Instruct-4bit...
Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]Fetching 9 files: 100%|██████████| 9/9 [00:00<00:00, 110054.62it/s]
Loaded in 2.1s
  [1/1702] variant=B pred=0 (4.71s/item)
  [10/1702] variant=B pred=0 (5.17s/item)
  [20/1702] variant=B pred=0 (5.38s/item)
  [30/1702] variant=B pred=1 (5.39s/item)
  [40/1702] variant=B pred=0 (5.28s/item)
  [50/1702] variant=B pred=0 (5.36s/item)
  [60/1702] variant=B pred=0 (5.32s/item)
  [70/1702] variant=B pred=0 (5.36s/item)
  [80/1702] variant=B pred=0 (5.42s/item)
  [90/1702] variant=B pred=0 (5.41s/item)
  [100/1702] variant=B pred=0 (5.38s/item)
  [110/1702] variant=B pred=0 (5.35s/item)
  [120/1702] variant=B pred=0 (5.37s/item)
  [130/1702] variant=B pred=0 (5.35s/item)
  [140/1702] variant=B pred=0 (5.34s/item)
  [150/1702] variant=B pred=0 (5.31s/item)
  [160/1702] variant=B pred=0 (5.30s/item)
  [170/1702] variant=B pred=0 (5.27s/item)
  [180/1702] variant=B pred=0 (5.24s/item)
  [190/1702] variant=B pred=0 (5.23s/item)
  [200/1702] variant=B pred=0 (5.21s/item)
  [210/1702] variant=B pred=0 (5.19s/item)
  [220/1702] variant=B pred=1 (5.19s/item)
  [230/1702] variant=B pred=0 (5.17s/item)
  [240/1702] variant=B pred=0 (5.13s/item)
  [250/1702] variant=B pred=0 (5.12s/item)
  [260/1702] variant=B pred=0 (5.12s/item)
  [270/1702] variant=B pred=1 (5.14s/item)
  [280/1702] variant=B pred=0 (5.13s/item)
  [290/1702] variant=B pred=0 (5.12s/item)
  [300/1702] variant=B pred=0 (5.11s/item)
  [310/1702] variant=B pred=0 (5.10s/item)
  [320/1702] variant=B pred=1 (5.11s/item)
  [330/1702] variant=B pred=0 (5.10s/item)
  [340/1702] variant=B pred=0 (5.09s/item)
  [350/1702] variant=B pred=0 (5.09s/item)
  [360/1702] variant=B pred=1 (5.09s/item)
  [370/1702] variant=B pred=0 (5.09s/item)
  [380/1702] variant=B pred=1 (5.09s/item)
  [390/1702] variant=B pred=1 (5.09s/item)
  [400/1702] variant=B pred=0 (5.09s/item)
  [410/1702] variant=B pred=0 (5.08s/item)
  [420/1702] variant=B pred=0 (5.08s/item)
  [430/1702] variant=B pred=0 (5.07s/item)
  [440/1702] variant=B pred=0 (5.06s/item)
  [450/1702] variant=B pred=0 (5.06s/item)
  [460/1702] variant=B pred=0 (5.05s/item)
  [470/1702] variant=B pred=0 (5.04s/item)
  [480/1702] variant=B pred=0 (5.04s/item)
  [490/1702] variant=B pred=0 (5.03s/item)
  [500/1702] variant=B pred=0 (5.02s/item)
  [510/1702] variant=B pred=0 (5.01s/item)
  [520/1702] variant=B pred=0 (5.01s/item)
  [530/1702] variant=B pred=0 (5.00s/item)
  [540/1702] variant=B pred=0 (5.00s/item)
  [550/1702] variant=B pred=0 (4.99s/item)
  [560/1702] variant=B pred=0 (4.99s/item)
  [570/1702] variant=B pred=0 (4.99s/item)
  [580/1702] variant=B pred=0 (4.98s/item)
  [590/1702] variant=B pred=0 (4.98s/item)
  [600/1702] variant=B pred=0 (4.97s/item)
  [610/1702] variant=B pred=0 (4.97s/item)
  [620/1702] variant=B pred=0 (4.96s/item)
  [630/1702] variant=B pred=0 (4.96s/item)
  [640/1702] variant=B pred=0 (4.97s/item)
  [650/1702] variant=B pred=0 (4.96s/item)
  [660/1702] variant=B pred=0 (4.96s/item)
  [670/1702] variant=B pred=1 (4.97s/item)
  [680/1702] variant=B pred=0 (4.97s/item)
