Field,Soft_Label_0.5_Count,Soft_Label_1_Count,Soft_Label_0_Count,Llama_Positive_Count,Llama_Negative_Count,Qwen_Positive_Count,Qwen_Negative_Count,Mitigated_Llama_Positive_Count,Mitigated_Llama_Negative_Count,Mitigated_Qwen_Positive_Count,Mitigated_Qwen_Negative_Count
ask a genuine question,47,48,405,6,494,45,455,62,438,59,441
ask a rhetorical question,69,37,394,15,485,42,458,2,498,44,456
provide a fact or claim,181,196,123,46,454,232,268,146,354,329,171
provide an observation,138,98,264,24,476,298,202,41,459,395,105
express their opinion,103,350,47,368,132,442,58,142,358,416,84
express others opinions,123,27,350,24,476,138,362,3,497,124,376
money aid allocation,153,39,308,1,499,104,396,3,497,129,371
government critique,79,28,393,45,455,234,266,7,493,208,292
societal critique,157,37,306,169,331,163,337,56,444,156,344
solutions/interventions,151,152,197,3,497,163,337,16,484,256,244
personal interaction,66,37,397,1,499,128,372,8,492,153,347
media portrayal,17,1,482,4,496,108,392,8,492,105,395
not in my backyard,81,21,398,133,367,195,305,9,491,167,333
harmful generalization,134,36,330,157,343,290,210,5,495,202,298
deserving/undeserving,39,1,460,38,462,149,351,1,499,159,341
racist,3,0,497,0,500,0,500,0,0,0,0
