Category,Large_Mean,Large_SEM,Small_Mean,Small_SEM,P_Value,Significant
Ask A Genuine Question,7.33%,±1.06%,7.73%,±1.46%,0.8283,No
Ask A Rhetorical Question,5.66%,±0.93%,5.61%,±1.32%,0.9774,No
Provide A Fact Or Claim,77.39%,±2.83%,78.74%,±2.40%,0.7179,No
Provide An Observation,37.22%,±3.65%,37.70%,±3.41%,0.9235,No
Express Their Opinion,67.64%,±5.19%,62.22%,±5.36%,0.4720,No
Express Others Opinions,18.73%,±1.97%,14.86%,±1.65%,0.1403,No
Money Aid Allocation,19.77%,±1.16%,16.68%,±2.06%,0.1990,No
Government Critique,24.79%,±2.22%,18.33%,±1.92%,0.0344,No
Societal Critique,40.15%,±4.68%,32.72%,±5.36%,0.3035,No
Solutions/Interventions,44.31%,±4.37%,52.03%,±4.33%,0.2178,No
Personal Interaction,13.11%,±2.24%,13.23%,±1.89%,0.9683,No
Media Portrayal,7.28%,±0.77%,6.05%,±0.97%,0.3271,No
Not In My Backyard,5.73%,±0.67%,7.08%,±1.33%,0.3698,No
Harmful Generalization,17.24%,±3.12%,13.72%,±2.26%,0.3675,No
Deserving/Undeserving,17.86%,±2.41%,15.15%,±2.72%,0.4604,No
Racist,0.10%,±0.03%,0.01%,±0.01%,0.0128,No
