Category,Large_Mean,Large_SEM,Small_Mean,Small_SEM,P_Value,Significant
Ask A Genuine Question,0.11%,±0.02%,0.12%,±0.03%,0.7034,No
Ask A Rhetorical Question,0.02%,±0.01%,0.04%,±0.01%,0.3048,No
Provide A Fact Or Claim,0.81%,±0.06%,0.85%,±0.03%,0.5265,No
Provide An Observation,0.31%,±0.16%,0.22%,±0.03%,0.6170,No
Express Their Opinion,0.83%,±0.06%,0.77%,±0.04%,0.3915,No
Express Others Opinions,0.26%,±0.06%,0.21%,±0.02%,0.4297,No
Money Aid Allocation,0.21%,±0.03%,0.22%,±0.04%,0.8948,No
Government Critique,0.31%,±0.04%,0.21%,±0.02%,0.0987,No
Societal Critique,0.27%,±0.05%,0.23%,±0.03%,0.4818,No
Solutions/Interventions,0.60%,±0.06%,0.59%,±0.07%,0.9447,No
Personal Interaction,0.04%,±0.01%,0.09%,±0.03%,0.2012,No
Media Portrayal,0.04%,±0.01%,0.03%,±0.01%,0.7376,No
Not In My Backyard,0.06%,±0.01%,0.06%,±0.01%,0.8026,No
Harmful Generalization,0.04%,±0.01%,0.05%,±0.01%,0.8150,No
Deserving/Undeserving,0.16%,±0.04%,0.12%,±0.01%,0.4157,No
Racist,0.00%,±0.00%,0.00%,±0.00%,0.2864,No
