City,Total Comments,Express Opinion (%),Societal Critique (%),Solutions (%),Deserving/Undeserving (%),Racist (%)
san francisco,1537,41.314248536109304,39.23227065712427,54.26154847104749,7.482108002602472,0.06506180871828238
portland,397,47.3551637279597,38.79093198992443,57.68261964735516,7.304785894206549,0.0
buffalo,196,40.30612244897959,12.755102040816327,81.63265306122449,4.591836734693878,0.0
scranton,159,32.70440251572327,17.61006289308176,60.37735849056604,2.515723270440252,0.0
baltimore,156,38.46153846153847,34.61538461538461,62.82051282051282,10.256410256410255,0.0
south bend,49,34.69387755102041,18.367346938775512,69.38775510204081,4.081632653061225,0.0
fayetteville,32,28.125,6.25,87.5,3.125,0.0
el paso,31,25.806451612903224,25.806451612903224,54.83870967741935,3.225806451612903,0.0
kalamazoo,11,18.181818181818183,18.181818181818183,36.36363636363637,0.0,0.0
rockford,9,44.44444444444444,0.0,77.77777777777779,0.0,0.0
