City,Total Comments,Express Opinion (%),Societal Critique (%),Solutions (%),Deserving/Undeserving (%),Racist (%)
san francisco,2149,86.31921824104235,52.489530013959985,15.774778966961378,17.91530944625407,0.13959981386691486
portland,1096,85.3102189781022,52.55474452554745,19.434306569343065,20.346715328467152,0.18248175182481752
baltimore,222,65.31531531531532,27.927927927927925,46.3963963963964,15.315315315315313,0.45045045045045046
buffalo,101,71.28712871287128,25.742574257425744,32.67326732673268,15.841584158415841,0.0
fayetteville,77,68.83116883116884,25.97402597402597,55.84415584415584,15.584415584415584,0.0
south bend,60,56.666666666666664,26.666666666666668,43.333333333333336,13.333333333333334,0.0
scranton,51,78.43137254901961,31.372549019607842,33.33333333333333,27.450980392156865,0.0
el paso,38,31.57894736842105,10.526315789473683,36.84210526315789,13.157894736842104,0.0
rockford,37,54.054054054054056,29.72972972972973,51.35135135135135,13.513513513513514,0.0
kalamazoo,32,34.375,15.625,75.0,12.5,0.0
