Category,Large_Mean,Large_SEM,Small_Mean,Small_SEM,P_Value,Significant
Ask A Genuine Question,0.06%,±0.00%,0.06%,±0.01%,0.9042,No
Ask A Rhetorical Question,0.07%,±0.02%,0.07%,±0.04%,0.9041,No
Provide A Fact Or Claim,0.69%,±0.03%,0.74%,±0.03%,0.2783,No
Provide An Observation,0.40%,±0.03%,0.35%,±0.05%,0.4148,No
Express Their Opinion,0.68%,±0.10%,0.58%,±0.07%,0.4670,No
Express Others Opinions,0.12%,±0.01%,0.06%,±0.01%,0.0015,Yes
Money Aid Allocation,0.17%,±0.01%,0.15%,±0.02%,0.3231,No
Government Critique,0.24%,±0.04%,0.21%,±0.05%,0.6507,No
Societal Critique,0.34%,±0.08%,0.26%,±0.03%,0.3830,No
Solutions/Interventions,0.30%,±0.06%,0.52%,±0.07%,0.0428,No
Personal Interaction,0.21%,±0.03%,0.17%,±0.04%,0.3987,No
Media Portrayal,0.09%,±0.00%,0.10%,±0.02%,0.5364,No
Not In My Backyard,0.05%,±0.01%,0.06%,±0.01%,0.6665,No
Harmful Generalization,0.29%,±0.07%,0.18%,±0.02%,0.1575,No
Deserving/Undeserving,0.17%,±0.01%,0.16%,±0.03%,0.9901,No
Racist,0.00%,±0.00%,0.00%,±0.00%,0.0982,No
