Field,Original_Kappa,Original_Llama_Positives,Original_Qwen_Positives,Llama_Soft_Agreement,Qwen_Soft_Agreement,Soft_Label_0.5,Soft_Label_1,Soft_Label_0,Llama_Positive_Agreement,Llama_Negative_Agreement,Llama_False_Positive,Llama_False_Negative,Qwen_Positive_Agreement,Qwen_Negative_Agreement,Qwen_False_Positive,Qwen_False_Negative,Mitigated_Kappa,Mitigated_Llama_Positives,Mitigated_Qwen_Positives,Kappa_Delta,Llama_Positives_Delta,Qwen_Positives_Delta
ask a genuine question,0.17868589743589747,6,45,0.912,0.93,0.094,0.096,0.81,0.01,0.808,0.002,0.086,0.048,0.788,0.022,0.048,0.3513086642599278,62,59,0.17262276682403033,56,14
ask a rhetorical question,0.2107195301027901,15,42,0.914,0.882,0.138,0.074,0.788,0.004,0.772,0.016,0.07,0.006,0.738,0.05,0.068,-0.0077111812127586,2,44,-0.2184307113155487,-13,2
provide a fact or claim,0.1500645950907732,46,232,0.66,0.786,0.362,0.392,0.246,0.062,0.236,0.01,0.33,0.252,0.172,0.074,0.14,0.1550709881780643,146,329,0.005006393087291117,100,97
provide an observation,0.06609587173474418,24,298,0.812,0.678,0.276,0.196,0.528,0.018,0.518,0.01,0.178,0.146,0.256,0.272,0.05,0.019449383115134,41,395,-0.04664648861961018,17,97
express their opinion,0.1466720208814376,368,442,0.834,0.89,0.206,0.7,0.094,0.56,0.068,0.026,0.14,0.652,0.032,0.062,0.048,0.0861391555179788,142,416,-0.06053286536345881,-226,-26
express others opinions,0.08572657846617193,24,138,0.932,0.808,0.246,0.054,0.7,0.008,0.678,0.022,0.046,0.034,0.528,0.172,0.02,0.004079291223149983,3,124,-0.08164728724302195,-21,-14
money aid allocation,0.015145720186644285,1,104,0.924,0.882,0.306,0.078,0.616,0.002,0.616,0.0,0.076,0.05,0.526,0.09,0.028,0.03412749517063751,3,129,0.018981774983993227,2,25
government critique,0.16835528537656197,45,234,0.944,0.708,0.158,0.056,0.786,0.03,0.756,0.03,0.026,0.056,0.494,0.292,0.0,0.029525375760125372,7,208,-0.1388299096164366,-38,-26
societal critique,0.26965177718067557,169,163,0.822,0.824,0.314,0.074,0.612,0.04,0.468,0.144,0.034,0.038,0.472,0.14,0.036,0.13021868787276336,56,156,-0.1394330893079122,-113,-7
solutions/interventions,0.012460071688083607,3,163,0.698,0.826,0.302,0.304,0.394,0.002,0.394,0.0,0.302,0.182,0.342,0.052,0.122,0.0532674011016524,16,256,0.040807329413568794,13,93
personal interaction,0.011580848016935485,1,128,0.928,0.814,0.132,0.074,0.794,0.002,0.794,0.0,0.072,0.046,0.636,0.158,0.028,0.04550812278993477,8,153,0.03392727477299928,7,25
media portrayal,-0.015670342426001183,4,108,0.99,0.796,0.034,0.002,0.964,0.0,0.956,0.008,0.002,0.002,0.76,0.204,0.0,0.005837285662167013,8,105,0.021507628088168196,4,-3
not in my backyard,0.22411486667261216,133,195,0.81,0.718,0.162,0.042,0.796,0.024,0.624,0.172,0.018,0.032,0.524,0.272,0.01,-7.05932183449054e-05,9,167,-0.22418545989095706,-124,-28
harmful generalization,0.2185140440954394,157,290,0.816,0.674,0.268,0.072,0.66,0.04,0.508,0.152,0.032,0.062,0.344,0.316,0.01,0.009657075285770533,5,202,-0.20885696880966886,-152,-88
deserving/undeserving,0.1420852803738316,38,149,0.938,0.736,0.078,0.002,0.92,0.0,0.86,0.06,0.002,0.0,0.658,0.262,0.002,-0.003990863683140722,1,159,-0.14607614405697233,-37,10
racist,,0,0,1.0,1.0,0.006,0.0,0.994,0.0,0.994,0.0,0.0,0.0,0.994,0.0,0.0,,0,0,,0,0
