Field,Llama_F1,Llama_Accuracy,Llama_Precision,Llama_Recall,Llama_Kappa,Qwen_F1,Qwen_Accuracy,Qwen_Precision,Qwen_Recall,Qwen_Kappa
ask a genuine question,0.19,0.91,0.83,0.1,0.17,0.52,0.91,0.53,0.5,0.47
ask a rhetorical question,0.08,0.9,0.13,0.05,0.04,0.08,0.85,0.07,0.08,-0.0
provide a fact or claim,0.26,0.64,0.67,0.16,0.13,0.59,0.65,0.54,0.64,0.28
provide an observation,0.15,0.79,0.38,0.09,0.08,0.37,0.5,0.24,0.74,0.1
express their opinion,0.78,0.68,0.76,0.8,0.22,0.82,0.72,0.74,0.93,0.19
express others opinions,0.16,0.91,0.17,0.15,0.11,0.21,0.74,0.12,0.63,0.13
money aid allocation,0.05,0.92,1.0,0.03,0.05,0.35,0.81,0.24,0.64,0.27
government critique,0.41,0.91,0.33,0.54,0.37,0.21,0.59,0.12,1.0,0.13
societal critique,0.19,0.67,0.12,0.54,0.08,0.19,0.68,0.12,0.51,0.08
solutions/interventions,0.01,0.69,0.33,0.01,0.0,0.58,0.73,0.56,0.6,0.38
personal interaction,0.05,0.93,1.0,0.03,0.05,0.28,0.76,0.18,0.62,0.19
media portrayal,0.0,0.99,0.0,0.0,-0.0,0.02,0.79,0.01,1.0,0.01
not in my backyard,0.16,0.74,0.09,0.57,0.09,0.15,0.63,0.08,0.76,0.08
harmful generalization,0.21,0.69,0.13,0.56,0.1,0.19,0.47,0.11,0.86,0.07
deserving/undeserving,0.0,0.92,0.0,0.0,-0.0,0.0,0.7,0.0,0.0,-0.0
racist,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,
