model,model_display,category,gap_pp,pi_ref,pi_model,n,gold_positives
llama,LLaMA,not in my backyard,15.746180963572268,2.4676850763807283,18.213866039952997,1702,42
llama,LLaMA,provide a fact or claim,-55.17038777908343,83.43125734430082,28.26086956521739,1702,1420
llama,LLaMA,express their opinion,12.455934195064621,53.29024676850764,65.74618096357227,1702,907
llama,LLaMA,harmful generalization,9.400705052878964,6.933019976498238,16.333725029377202,1702,118
phi4,Phi-4,not in my backyard,16.62749706227967,2.4676850763807283,19.095182138660398,1702,42
phi4,Phi-4,provide a fact or claim,-73.5605170387779,83.43125734430082,9.870740305522913,1702,1420
phi4,Phi-4,express their opinion,-22.56169212690952,53.29024676850764,30.728554641598123,1702,907
phi4,Phi-4,harmful generalization,-2.4089306698002355,6.933019976498238,4.524089306698002,1702,118
qwen,Qwen,not in my backyard,37.485311398354874,2.4676850763807283,39.9529964747356,1702,42
qwen,Qwen,provide a fact or claim,-28.730904817861347,83.43125734430082,54.700352526439474,1702,1420
qwen,Qwen,express their opinion,29.788484136310224,53.29024676850764,83.07873090481786,1702,907
qwen,Qwen,harmful generalization,37.544065804935364,6.933019976498238,44.47708578143361,1702,118
gemini,Gemini,not in my backyard,5.152224824355972,2.693208430913349,7.845433255269321,1708,46
gemini,Gemini,provide a fact or claim,-0.7611241217798548,83.31381733021077,82.55269320843091,1708,1423
gemini,Gemini,express their opinion,5.971896955503508,53.278688524590166,59.250585480093676,1708,910
gemini,Gemini,harmful generalization,10.597189695550352,7.142857142857142,17.740046838407494,1708,122
grok,Grok,not in my backyard,1.7038777908343123,2.4676850763807283,4.171562867215041,1702,42
grok,Grok,provide a fact or claim,-39.01292596944771,83.43125734430082,44.41833137485312,1702,1420
grok,Grok,express their opinion,-26.204465334900124,53.29024676850764,27.08578143360752,1702,907
grok,Grok,harmful generalization,-1.9976498237367808,6.933019976498238,4.935370152761457,1702,118
gpt4,GPT-4.1,not in my backyard,4.3478260869565215,2.4676850763807283,6.815511163337249,1702,42
gpt4,GPT-4.1,provide a fact or claim,-6.462984723854293,83.43125734430082,76.96827262044653,1702,1420
gpt4,GPT-4.1,express their opinion,7.696827262044648,53.29024676850764,60.98707403055229,1702,907
gpt4,GPT-4.1,harmful generalization,11.985898942420683,6.933019976498238,18.91891891891892,1702,118
