category,bin_lo,bin_hi,count,mean_vote_fraction,gold_positive_rate,calibration_gap_pp,shot_type
not in my backyard,0.0,0.1,884.0,0.0,0.0022624434389140274,0.22624434389140274,few_shot
not in my backyard,0.1,0.2,517.0,0.16666666666666666,0.01160541586073501,-15.506125080593163,few_shot
not in my backyard,0.30000000000000004,0.4,212.0,0.33333333333333337,0.05188679245283019,-28.14465408805032,few_shot
not in my backyard,0.5,0.6000000000000001,70.0,0.5,0.24285714285714285,-25.71428571428571,few_shot
provide a fact or claim,0.0,0.1,27.0,0.0,0.3333333333333333,33.33333333333333,few_shot
provide a fact or claim,0.1,0.2,111.0,0.16666666666666674,0.6396396396396397,47.29729729729729,few_shot
provide a fact or claim,0.30000000000000004,0.4,264.0,0.33333333333333326,0.7045454545454546,37.12121212121213,few_shot
provide a fact or claim,0.5,0.6000000000000001,413.0,0.5,0.837772397094431,33.777239709443094,few_shot
provide a fact or claim,0.6000000000000001,0.7000000000000001,441.0,0.6666666666666666,0.8775510204081632,21.08843537414966,few_shot
provide a fact or claim,0.8,0.9,326.0,0.8333333333333333,0.9325153374233128,9.918200408997958,few_shot
provide a fact or claim,0.9,1.0,120.0,1.0,0.975,-2.500000000000002,few_shot
express their opinion,0.0,0.1,43.0,0.0,0.046511627906976744,4.651162790697675,few_shot
express their opinion,0.1,0.2,173.0,0.16666666666666666,0.1329479768786127,-3.371868978805395,few_shot
express their opinion,0.30000000000000004,0.4,247.0,0.33333333333333337,0.2874493927125506,-4.588394062078277,few_shot
express their opinion,0.5,0.6000000000000001,381.0,0.5,0.48031496062992124,-1.968503937007876,few_shot
express their opinion,0.6000000000000001,0.7000000000000001,369.0,0.6666666666666666,0.6368563685636857,-2.981029810298097,few_shot
express their opinion,0.8,0.9,347.0,0.8333333333333333,0.8097982708933718,-2.3535062439961507,few_shot
express their opinion,0.9,1.0,142.0,1.0,0.7887323943661971,-21.126760563380287,few_shot
harmful generalization,0.0,0.1,671.0,0.0,0.00894187779433681,0.8941877794336811,few_shot
harmful generalization,0.1,0.2,518.0,0.16666666666666663,0.032818532818532815,-13.384813384813382,few_shot
harmful generalization,0.30000000000000004,0.4,280.0,0.3333333333333333,0.08928571428571429,-24.4047619047619,few_shot
harmful generalization,0.5,0.6000000000000001,128.0,0.5,0.21875,-28.125,few_shot
harmful generalization,0.6000000000000001,0.7000000000000001,85.0,0.6666666666666665,0.3411764705882353,-32.54901960784312,few_shot
