category,bin_lo,bin_hi,count,mean_vote_fraction,gold_positive_rate,calibration_gap_pp,shot_type
not in my backyard,0.0,0.1,678.0,0.0,0.0058997050147492625,0.5899705014749262,zero_shot
not in my backyard,0.1,0.2,626.0,0.16666666666666669,0.011182108626198083,-15.54845580404686,zero_shot
not in my backyard,0.30000000000000004,0.4,260.0,0.3333333333333333,0.03076923076923077,-30.256410256410255,zero_shot
not in my backyard,0.5,0.6000000000000001,97.0,0.5,0.13402061855670103,-36.5979381443299,zero_shot
not in my backyard,0.6000000000000001,0.7000000000000001,33.0,0.6666666666666666,0.21212121212121213,-45.454545454545446,zero_shot
provide a fact or claim,0.0,0.1,42.0,0.0,0.4523809523809524,45.23809523809524,zero_shot
provide a fact or claim,0.1,0.2,193.0,0.16666666666666669,0.5854922279792746,41.88255613126079,zero_shot
provide a fact or claim,0.30000000000000004,0.4,404.0,0.3333333333333333,0.7920792079207921,45.87458745874588,zero_shot
provide a fact or claim,0.5,0.6000000000000001,479.0,0.5,0.8747390396659708,37.47390396659708,zero_shot
provide a fact or claim,0.6000000000000001,0.7000000000000001,348.0,0.6666666666666666,0.9252873563218391,25.86206896551725,zero_shot
provide a fact or claim,0.8,0.9,201.0,0.8333333333333334,0.9601990049751243,12.686567164179097,zero_shot
provide a fact or claim,0.9,1.0,41.0,1.0,0.9024390243902439,-9.756097560975608,zero_shot
express their opinion,0.0,0.1,60.0,0.0,0.03333333333333333,3.3333333333333335,zero_shot
express their opinion,0.1,0.2,215.0,0.1666666666666667,0.13023255813953488,-3.643410852713183,zero_shot
express their opinion,0.30000000000000004,0.4,300.0,0.3333333333333333,0.27,-6.3333333333333295,zero_shot
express their opinion,0.5,0.6000000000000001,341.0,0.5,0.49560117302052786,-0.4398826979472137,zero_shot
express their opinion,0.6000000000000001,0.7000000000000001,336.0,0.6666666666666666,0.6904761904761905,2.3809523809523836,zero_shot
express their opinion,0.8,0.9,326.0,0.8333333333333333,0.8650306748466258,3.169734151329251,zero_shot
express their opinion,0.9,1.0,130.0,1.0,0.8923076923076924,-10.769230769230765,zero_shot
harmful generalization,0.0,0.1,645.0,0.0,0.007751937984496124,0.7751937984496124,zero_shot
harmful generalization,0.1,0.2,580.0,0.16666666666666666,0.032758620689655175,-13.390804597701148,zero_shot
harmful generalization,0.30000000000000004,0.4,288.0,0.3333333333333333,0.14583333333333334,-18.749999999999996,zero_shot
harmful generalization,0.5,0.6000000000000001,122.0,0.5,0.20491803278688525,-29.508196721311474,zero_shot
harmful generalization,0.6000000000000001,0.7000000000000001,58.0,0.6666666666666665,0.39655172413793105,-27.011494252873547,zero_shot
