Comment,City,Raw Response
"And so I just wanna thank you all and know that we're gonna continue to make progress and create an empathetic bridge of compassion to continue to navigate these uncertain times and to continue to fight to build a city that provides support and opportunity for all of those who call [ORGANIZATION] home. So thank you and happy to answer any questions that anyone might have. Thank you, Mr. [PERSON], and thank you for your presentation, but also every person that was a member of [ORGANIZATION].",south bend,"Comment Type: [express their opinion]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The speaker expresses their opinion and commitment to future actions, such as creating an ""empathetic bridge of compassion"" and building a supportive city, which falls under solutions/interventions. The comment is a positive, forward-looking statement without critique, specific perceptions, or racial bias."
So I  I'm excited when we talk about affordable housing and it being done in the first district. And so thank you. And I'm excited about it.,south bend,"Comment Type: [express their opinion]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The speaker is expressing their personal feelings of excitement and gratitude regarding the topic of affordable housing, which is a type of solution/intervention. There is no critique, specific perception type, or racist content."
the weather amnesty. We allocated funds there as well. And so within the hope with hope they were capped at 50 individuals during weather amnesty and it's still ongoing at the moment and then [ORGANIZATION].,south bend,"Comment Type: [provide a fact or claim]
Critique Category: [money aid allocation]
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The speaker is providing factual information about the allocation of funds (""We allocated funds there"") for a specific program (""weather amnesty""), which is a type of solution/intervention. The comment is a statement of fact regarding resource distribution."
"Okay. But on that area, one corner is the location that is on dispute right now. And the reason that we are, that I am questioning that is because we got a lot of homeless people there.",south bend,"Comment Type: [provide a fact or claim, express their opinion]
Critique Category: []
Response Category: []
Perception Type: [not in my backyard]
racist: [No]
Reasoning: The speaker states a fact (a location is in dispute) and then expresses their opinion by questioning the location because of the presence of homeless people there. This opposition to something happening in a specific area due to the local homeless population is a ""not in my backyard"" sentiment."
"[ORGANIZATION], will you please give 4723 a first reading? 4723, first reading on an ordinance of [ORGANIZATION], [ORGANIZATION], adding the status of homeless to the protected classes of persons under GPE1 Human Rights Ordinance, Chapter 2, Article 9 of GPE1 Municipal Code in establishing the definition for homeless. Thank you.",south bend,"Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The speaker is factually stating the content of a proposed ordinance. This ordinance represents a legal solution or intervention by adding homelessness as a protected status under the Human Rights Ordinance. The comment is procedural and contains no critique, personal perception, or bias."
"So [ORGANIZATION] and the intake center, there's not a concrete report  uh... thing that that's moving forward at this time even though it is uh... being worked on actively uh... but uh... [ORGANIZATION] in the center for the homeless uh...  PROJECTS HAVE GOTTEN APPROVAL FROM THE COUNTY COUNCIL FOR THEIR ARP DOLLARS AND SOME OF THOSE DOLLARS THAT CONTEMPLATE AT SOME LEVEL CITY PARTNERSHIPS.",south bend,"Comment Type: [provide a fact or claim]
Critique Category: [money aid allocation]
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The speaker is providing a factual update about the status of homelessness projects (intake center, center for the homeless), specifically mentioning that they have received financial approval (""ARP DOLLARS"") from a government body. This is a report on the allocation of money for specific solutions."
"It doesn't solve homelessness, but it would solve it go a long [STREET] to solving the problem you're currently experiencing with tents being erected on that property. Thank you. Any other questions at this time?",south bend,"Comment Type: [ask a genuine question, provide a fact or claim, express their opinion]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: [not in my backyard]
racist: [No]
Reasoning: The speaker expresses their opinion on a proposed solution, claiming it will solve the specific problem of tents on a property but not the broader issue of homelessness. This focus on removing the visible problem from a specific area, rather than addressing the root cause, is characteristic of a ""not in my backyard"" perception. The speaker concludes by asking a genuine question."
"The [ORGANIZATION] program, [ORGANIZATION], ORG2, [PERSON], [LOCATION], and [ORGANIZATION]. And if you would like to be a part of that, please let me know. And I did contact the warming centers to see if we had any walk-ins and was pleased to know that there were not any walk-ins that went to any of our public locations that are deemed warming centers.",south bend,"Comment Type: [provide a fact or claim, provide an observation, express their opinion]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The speaker provides a factual update about warming centers, which are a type of intervention. They also express their personal opinion by stating they were ""pleased"" with the outcome of their inquiry. The comment does not contain any critique or specific perception type."
"I think this is an important one as we're in a health pandemic, in a health crisis with [PERSON]. And so if we had a better tracking system, I think it would be well suited for our homeless individuals. Next, within the weather amnesty and housing subcommittee,  The recommendation is to continue operations at [ORGANIZATION], and those sites are [PERSON] and ORG2.",south bend,"Comment Type: [provide a fact or claim, express their opinion]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The speaker expresses their opinion on the need for a better tracking system as a potential solution and makes a factual claim about a subcommittee's recommendation to continue operations at specific sites, which is a form of intervention. The comment does not contain any critiques or racial bias."
"During this time, the homeless shelters were closed, they remained full, the weather amnesty shelter had closed down, and the mayor had provided no alternative options. So while you and I were out celebrating [ORGANIZATION] and honoring our nation's hero, the city was making plans to confiscate all the tents and belongings of the homeless who were residing on that property. The eviction was incredibly cruel, in my opinion, heartless.",south bend,"Comment Type: [provide a fact or claim, express their opinion]
Critique Category: [government critique]
Response Category: []
Perception Type: []
racist: [No]
Reasoning: The speaker provides a series of factual claims about shelter closures and the city's plan to confiscate belongings. They also explicitly state their opinion that the city's actions were ""incredibly cruel"" and ""heartless."" The criticism is directed at the mayor and the city, which constitutes a government critique."
"DATE0. THE HIGH LEVEL 50 AFFORDABLE THE HIGH LEVEL 50 AFFORDABLE THE HIGH LEVEL 50 [ORGANIZATION] ACROSS 37 HOUSING UNITS ACROSS 37 HOUSING UNITS ACROSS 37 CITY-OWNED PROPERTIES CITY-OWNED PROPERTIES CITY-OWNED PROPERTIES AMIDST THE SINGLE-FAMILY HOMES,  Thank you. I just found the public portion is now closed.",south bend,"Comment Type: [provide a fact or claim]
Critique Category: [money aid allocation]
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The speaker is providing a factual statement about a housing initiative (50 affordable units on city-owned properties). This is a type of solution/intervention and relates to how government resources are being allocated. The comment does not express an opinion, critique, or any specific perception type. There is no racial bias."
Voting no on the resolution was not a no vote for the homeless community. I had plenty to say at the committee meeting and the council meeting [ORGANIZATION] when voting on this resolution. So I'd just like to refer people to that recording and my public comments as well.,south bend,"Comment Type: [provide a fact or claim, express their opinion]
Critique Category: []
Response Category: []
Perception Type: []
racist: [No]
Reasoning: The speaker is expressing their opinion to clarify the intention behind their 'no' vote on a resolution and makes a factual claim about having previously spoken on the topic. The comment is a political justification and does not contain any specific critiques, solutions, or perceptions related to homelessness."
"While [ORGANIZATION]'s not part of this because they're building a single-family home, [PERSON] and the ORG2 are excited to rezone these properties to be consistent with the neighborhood plan that showed these for you, too, to allow for a mix of housing in this neighborhood, and in particular, housing that can be built as and remain as affordable housing in a neighborhood that has ever-changing demand. We're excited to see that they're going to be doing two duplexes and then the quad here on these southern portions. The one on the far right, which is actually the northernmost lot for FAC0, is actually going to be a single-family home.",south bend,"Comment Type: [provide a fact or claim, express their opinion, express others opinions]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The speaker is providing factual information about a specific affordable housing development project. This describes a clear solution/intervention to address housing needs. The speaker also expresses their own excitement and the excitement of the organizations involved. There are no critiques or biased perceptions present."
"So, as we've been navigating through homelessness, I want to turn your attention to this regional comparison between… That's great. Someone was just telling me [ORGANIZATION] that it… I'm going to ask everyone to mute their mics. Mr. [PERSON], you're muted, sir.",south bend,"Comment Type: [provide a fact or claim, express others opinions]
Critique Category: []
Response Category: []
Perception Type: []
racist: [No]
Reasoning: The speaker is introducing a ""regional comparison,"" which is a type of factual claim, and is also referencing what ""someone"" told them, which falls under expressing others' opinions. The comment is largely procedural and is cut off before any substantive critique, solution, or perception can be expressed."
"We are a corporation of over 20 [ORGANIZATION] businesses. We are seeking fairness for the truly homeless in our community.  as well as greater fiscal responsibility from our local government. And lastly, fairness and freedom for all media platforms to share and report on the actions of our government.",south bend,"Comment Type: [provide a fact or claim, express their opinion, express others opinions]
Critique Category: [money aid allocation, government critique]
Response Category: []
Perception Type: [deserving/undeserving]
racist: [No]
Reasoning: The speaker states they represent a group of businesses (fact/claim) and expresses the group's opinions and goals. The comment critiques the government's financial management (money aid allocation) and its transparency (government critique). The phrase ""truly homeless"" implies a judgment about which individuals experiencing homelessness are deserving of help."
