Comment,City,Comment Type,Critique Category,Response Category,Perception Type,racist,Reasoning,Raw Response,Comment_ask a genuine question,Comment_ask a rhetorical question,Comment_provide a fact or claim,Comment_provide an observation,Comment_express their opinion,Comment_express others opinions,Critique_money aid allocation,Critique_government critique,Critique_societal critique,Response_solutions/interventions,Perception_personal interaction,Perception_media portrayal,Perception_not in my backyard,Perception_harmful generalization,Perception_deserving/undeserving,Racist_Flag
So I  I'm excited when we talk about affordable housing and it being done in the first district. And so thank you. And I'm excited about it.,south bend,express their opinion,,solutions/interventions,"[]
racist: [No]
Reasoning: The speaker expresses their personal opinion (""I'm excited"") in support of a specific solution, affordable housing. The comment contains no critiques, specific perceptions of people experiencing homelessness, or any racial bias.",No,"The speaker expresses their personal opinion (""I'm excited"") in support of a specific solution, affordable housing. The comment contains no critiques, specific perceptions of people experiencing homelessness, or any racial bias.","Comment Type: [express their opinion]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The speaker expresses their personal opinion (""I'm excited"") in support of a specific solution, affordable housing. The comment contains no critiques, specific perceptions of people experiencing homelessness, or any racial bias.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"[ORGANIZATION], will you please give 4723 a first reading? 4723, first reading on an ordinance of [ORGANIZATION], [ORGANIZATION], adding the status of homeless to the protected classes of persons under GPE1 Human Rights Ordinance, Chapter 2, Article 9 of GPE1 Municipal Code in establishing the definition for homeless. Thank you.",south bend,provide a fact or claim,,solutions/interventions,"[]
racist: [No]
Reasoning: The speaker is introducing an ordinance, which is a factual statement about a governmental process. The ordinance itself is a proposed legal solution to protect people experiencing homelessness from discrimination. The comment is procedural and does not contain any personal opinions, critiques, perceptions, or racial bias.",No,"The speaker is introducing an ordinance, which is a factual statement about a governmental process. The ordinance itself is a proposed legal solution to protect people experiencing homelessness from discrimination. The comment is procedural and does not contain any personal opinions, critiques, perceptions, or racial bias.","Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The speaker is introducing an ordinance, which is a factual statement about a governmental process. The ordinance itself is a proposed legal solution to protect people experiencing homelessness from discrimination. The comment is procedural and does not contain any personal opinions, critiques, perceptions, or racial bias.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"So [ORGANIZATION] and the intake center, there's not a concrete report  uh... thing that that's moving forward at this time even though it is uh... being worked on actively uh... but uh... [ORGANIZATION] in the center for the homeless uh...  PROJECTS HAVE GOTTEN APPROVAL FROM THE COUNTY COUNCIL FOR THEIR ARP DOLLARS AND SOME OF THOSE DOLLARS THAT CONTEMPLATE AT SOME LEVEL CITY PARTNERSHIPS.",south bend,provide a fact or claim,money aid allocation,solutions/interventions,"[]
racist: [No]
Reasoning: The speaker provides a factual update on the status of projects, stating that the county council has approved ARP funds. This directly concerns the allocation of money for specific solutions, such as the intake center. The comment is a neutral report and does not express any personal perceptions, critiques, or racial bias.",No,"The speaker provides a factual update on the status of projects, stating that the county council has approved ARP funds. This directly concerns the allocation of money for specific solutions, such as the intake center. The comment is a neutral report and does not express any personal perceptions, critiques, or racial bias.","Comment Type: [provide a fact or claim]
Critique Category: [money aid allocation]
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The speaker provides a factual update on the status of projects, stating that the county council has approved ARP funds. This directly concerns the allocation of money for specific solutions, such as the intake center. The comment is a neutral report and does not express any personal perceptions, critiques, or racial bias.",0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"It doesn't solve homelessness, but it would solve it go a long [STREET] to solving the problem you're currently experiencing with tents being erected on that property. Thank you. Any other questions at this time?",south bend,"ask a genuine question, provide a fact or claim, express their opinion",,solutions/interventions,"[not in my backyard]
racist: No
Reasoning: The speaker is proposing a specific, partial solution to address the immediate problem of tents on a particular property. This is a solutions/interventions focus. They make a claim about the effectiveness of this solution and express their opinion that it's a worthwhile step. The focus on solving the problem in a specific location (""the problem you're currently experiencing with tents"") without addressing the larger issue of homelessness is characteristic of a ""Not in my Backyard"" perspective. The comment ends with a genuine question to the audience and contains no racial bias.",No,"The speaker is proposing a specific, partial solution to address the immediate problem of tents on a particular property. This is a solutions/interventions focus. They make a claim about the effectiveness of this solution and express their opinion that it's a worthwhile step. The focus on solving the problem in a specific location (""the problem you're currently experiencing with tents"") without addressing the larger issue of homelessness is characteristic of a ""Not in my Backyard"" perspective. The comment ends with a genuine question to the audience and contains no racial bias.","Comment Type: [ask a genuine question, provide a fact or claim, express their opinion]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: [not in my backyard]
racist: No
Reasoning: The speaker is proposing a specific, partial solution to address the immediate problem of tents on a particular property. This is a solutions/interventions focus. They make a claim about the effectiveness of this solution and express their opinion that it's a worthwhile step. The focus on solving the problem in a specific location (""the problem you're currently experiencing with tents"") without addressing the larger issue of homelessness is characteristic of a ""Not in my Backyard"" perspective. The comment ends with a genuine question to the audience and contains no racial bias.",1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
"I think this is an important one as we're in a health pandemic, in a health crisis with [PERSON]. And so if we had a better tracking system, I think it would be well suited for our homeless individuals. Next, within the weather amnesty and housing subcommittee,  The recommendation is to continue operations at [ORGANIZATION], and those sites are [PERSON] and ORG2.",south bend,"Express their Opinion, Provide a Fact or Claim, Provide an Observation, Express Others Opinions",,solutions/interventions,"[]
racist: [No]
Reasoning: The speaker expresses their opinion (""I think"") on the need for a ""better tracking system, "" observes the context of the health pandemic, and provides a factual claim by relaying a subcommittee's recommendation. This recommendation is a form of expressing others' opinions. The entire comment is focused on solutions and interventions (tracking system, continuing operations at sites) and contains no critique, specific perception types, or racial bias.",No,"The speaker expresses their opinion (""I think"") on the need for a ""better tracking system,"" observes the context of the health pandemic, and provides a factual claim by relaying a subcommittee's recommendation. This recommendation is a form of expressing others' opinions. The entire comment is focused on solutions and interventions (tracking system, continuing operations at sites) and contains no critique, specific perception types, or racial bias.","Comment Type: [Express their Opinion, Provide a Fact or Claim, Provide an Observation, Express Others Opinions]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The speaker expresses their opinion (""I think"") on the need for a ""better tracking system,"" observes the context of the health pandemic, and provides a factual claim by relaying a subcommittee's recommendation. This recommendation is a form of expressing others' opinions. The entire comment is focused on solutions and interventions (tracking system, continuing operations at sites) and contains no critique, specific perception types, or racial bias.",0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0
"And so I just wanna thank you all and know that we're gonna continue to make progress and create an empathetic bridge of compassion to continue to navigate these uncertain times and to continue to fight to build a city that provides support and opportunity for all of those who call [ORGANIZATION] home. So thank you and happy to answer any questions that anyone might have. Thank you, Mr. [PERSON], and thank you for your presentation, but also every person that was a member of [ORGANIZATION].",south bend,express their opinion,,solutions/interventions,"[]
racist: No
Reasoning: The speaker expresses their opinion by thanking the participants and stating their commitment to future actions. These actions, described as creating an ""empathetic bridge of compassion"" and building a city that ""provides support and opportunity for all, "" are framed as high-level solutions. The comment does not contain any critiques, specific perceptions of PEH, or racial bias.",No,"The speaker expresses their opinion by thanking the participants and stating their commitment to future actions. These actions, described as creating an ""empathetic bridge of compassion"" and building a city that ""provides support and opportunity for all,"" are framed as high-level solutions. The comment does not contain any critiques, specific perceptions of PEH, or racial bias.","Comment Type: [express their opinion]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: No
Reasoning: The speaker expresses their opinion by thanking the participants and stating their commitment to future actions. These actions, described as creating an ""empathetic bridge of compassion"" and building a city that ""provides support and opportunity for all,"" are framed as high-level solutions. The comment does not contain any critiques, specific perceptions of PEH, or racial bias.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Okay. But on that area, one corner is the location that is on dispute right now. And the reason that we are, that I am questioning that is because we got a lot of homeless people there.",south bend,"Provide a Fact or Claim, Provide an Observation, Express their Opinion",Government Critique,,"[Not in my Backyard]
racist: [No]
Reasoning: The speaker states a fact (a location is in dispute) and provides their observation (the presence of homeless people) as the reason for their opinion to question it. This implies a critique of the official decision about the location. The reasoning for the opposition is a classic example of ""Not in my Backyard"" (NIMBY) sentiment, where the presence of PEH is seen as a negative factor for a specific area. The comment does not contain any racial bias.",No,"The speaker states a fact (a location is in dispute) and provides their observation (the presence of homeless people) as the reason for their opinion to question it. This implies a critique of the official decision about the location. The reasoning for the opposition is a classic example of ""Not in my Backyard"" (NIMBY) sentiment, where the presence of PEH is seen as a negative factor for a specific area. The comment does not contain any racial bias.","Comment Type: [Provide a Fact or Claim, Provide an Observation, Express their Opinion]
Critique Category: [Government Critique]
Response Category: []
Perception Type: [Not in my Backyard]
racist: [No]
Reasoning: The speaker states a fact (a location is in dispute) and provides their observation (the presence of homeless people) as the reason for their opinion to question it. This implies a critique of the official decision about the location. The reasoning for the opposition is a classic example of ""Not in my Backyard"" (NIMBY) sentiment, where the presence of PEH is seen as a negative factor for a specific area. The comment does not contain any racial bias.",0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0
"The [ORGANIZATION] program, [ORGANIZATION], ORG2, [PERSON], [LOCATION], and [ORGANIZATION]. And if you would like to be a part of that, please let me know. And I did contact the warming centers to see if we had any walk-ins and was pleased to know that there were not any walk-ins that went to any of our public locations that are deemed warming centers.",south bend,"provide a fact or claim, express their opinion",,solutions/interventions,"[]
racist: [No]
Reasoning: The speaker provides a factual report on the usage of warming centers, which are a type of intervention. They also express their personal feeling (""was pleased"") about this information. The comment does not contain any critique, specific perception type, or racial bias.",No,"The speaker provides a factual report on the usage of warming centers, which are a type of intervention. They also express their personal feeling (""was pleased"") about this information. The comment does not contain any critique, specific perception type, or racial bias.","Comment Type: [provide a fact or claim, express their opinion]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The speaker provides a factual report on the usage of warming centers, which are a type of intervention. They also express their personal feeling (""was pleased"") about this information. The comment does not contain any critique, specific perception type, or racial bias.",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"So, as we've been navigating through homelessness, I want to turn your attention to this regional comparison between… That's great. Someone was just telling me [ORGANIZATION] that it… I'm going to ask everyone to mute their mics. Mr. [PERSON], you're muted, sir.",south bend,provide a fact or claim,,,"[]
racist: [No]
Reasoning: The speaker is attempting to present factual information (""regional comparison"") but is cut off. The majority of the comment is procedural, related to managing the meeting (muting mics). It does not contain any critique, proposed solution, perception type, or racial bias.",No,"The speaker is attempting to present factual information (""regional comparison"") but is cut off. The majority of the comment is procedural, related to managing the meeting (muting mics). It does not contain any critique, proposed solution, perception type, or racial bias.","Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: []
Perception Type: []
racist: [No]
Reasoning: The speaker is attempting to present factual information (""regional comparison"") but is cut off. The majority of the comment is procedural, related to managing the meeting (muting mics). It does not contain any critique, proposed solution, perception type, or racial bias.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"We are a corporation of over 20 [ORGANIZATION] businesses. We are seeking fairness for the truly homeless in our community.  as well as greater fiscal responsibility from our local government. And lastly, fairness and freedom for all media platforms to share and report on the actions of our government.",south bend,"provide a fact or claim, express their opinion","money aid allocation, government critique",,"[deserving/undeserving]
racist: [No]
Reasoning: The speaker makes a factual claim about their organization's size and expresses their opinion on what they are seeking. They critique the local government's financial management (""greater fiscal responsibility"") and its transparency/actions related to the media. The phrase ""the truly homeless"" creates a deserving/undeserving dichotomy by implying that some homeless individuals are not genuine and thus not worthy of fairness or aid. The comment contains no racial bias.",No,"The speaker makes a factual claim about their organization's size and expresses their opinion on what they are seeking. They critique the local government's financial management (""greater fiscal responsibility"") and its transparency/actions related to the media. The phrase ""the truly homeless"" creates a deserving/undeserving dichotomy by implying that some homeless individuals are not genuine and thus not worthy of fairness or aid. The comment contains no racial bias.","Comment Type: [provide a fact or claim, express their opinion]
Critique Category: [money aid allocation, government critique]
Response Category: []
Perception Type: [deserving/undeserving]
racist: [No]
Reasoning: The speaker makes a factual claim about their organization's size and expresses their opinion on what they are seeking. They critique the local government's financial management (""greater fiscal responsibility"") and its transparency/actions related to the media. The phrase ""the truly homeless"" creates a deserving/undeserving dichotomy by implying that some homeless individuals are not genuine and thus not worthy of fairness or aid. The comment contains no racial bias.",0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0
