Comment,City,Raw Response
the weather amnesty. We allocated funds there as well. And so within the hope with hope they were capped at 50 individuals during weather amnesty and it's still ongoing at the moment and then [ORGANIZATION].,south bend,"Comment Type: [provide a fact or claim]
Critique Category: [money aid allocation]
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The speaker provides factual information about fund allocation and the capacity of a weather amnesty program, which is a specific intervention for homelessness. The mention of allocated funds relates to money aid allocation. There is no critique of government or society, no personal or media perception, and no racial bias present."
"So [ORGANIZATION] and the intake center, there's not a concrete report  uh... thing that that's moving forward at this time even though it is uh... being worked on actively uh... but uh... [ORGANIZATION] in the center for the homeless uh...  PROJECTS HAVE GOTTEN APPROVAL FROM THE COUNTY COUNCIL FOR THEIR ARP DOLLARS AND SOME OF THOSE DOLLARS THAT CONTEMPLATE AT SOME LEVEL CITY PARTNERSHIPS.",south bend,"Comment Type: [provide a fact or claim]
Critique Category: [money aid allocation]
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The speaker provides factual information about the status of projects and funding (ARP dollars, city partnerships) related to homelessness, which falls under money aid allocation. The mention of projects and partnerships implies discussion of interventions/solutions. There is no personal perception or racial bias present."
So I  I'm excited when we talk about affordable housing and it being done in the first district. And so thank you. And I'm excited about it.,south bend,"Comment Type: [express their opinion]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The speaker expresses their positive feelings (""I'm excited"") about affordable housing being developed in their district, which is an opinion. They also thank someone, indicating support for the intervention (affordable housing), but do not critique any system or allocation, nor do they reference any perception types or racial bias."
"And so I just wanna thank you all and know that we're gonna continue to make progress and create an empathetic bridge of compassion to continue to navigate these uncertain times and to continue to fight to build a city that provides support and opportunity for all of those who call [ORGANIZATION] home. So thank you and happy to answer any questions that anyone might have. Thank you, Mr. [PERSON], and thank you for your presentation, but also every person that was a member of [ORGANIZATION].",south bend,"Comment Type: [express their opinion, express others opinions]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The speaker expresses gratitude and a positive outlook, emphasizing compassion and support for all residents, which is an opinion. They also thank others, referencing the collective efforts of the organization (express others opinions). The mention of ""building a city that provides support and opportunity"" implies ongoing or planned interventions/solutions. There is no critique, perception type, or racial bias present."
"It doesn't solve homelessness, but it would solve it go a long [STREET] to solving the problem you're currently experiencing with tents being erected on that property. Thank you. Any other questions at this time?",south bend,"Comment Type: [express their opinion, provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: [not in my backyard]
racist: [No]
Reasoning: The speaker expresses their opinion that the proposed action would not solve homelessness overall but would address the immediate issue of tents on a specific property (fact/claim). This focuses on a localized solution (not in my backyard) rather than broader systemic change. There is no critique of government, money, or society, and no racial bias is present."
"I think this is an important one as we're in a health pandemic, in a health crisis with [PERSON]. And so if we had a better tracking system, I think it would be well suited for our homeless individuals. Next, within the weather amnesty and housing subcommittee,  The recommendation is to continue operations at [ORGANIZATION], and those sites are [PERSON] and ORG2.",south bend,"Comment Type: [express their opinion, provide a fact or claim, provide an observation]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The speaker expresses their opinion about the importance of the issue during a health crisis and claims that a better tracking system would benefit homeless individuals. They also provide an observation about ongoing recommendations for operations at specific sites. There is no critique of money, government, or society, but there is a discussion of solutions/interventions (better tracking system, continued operations). No perception type is directly referenced, and there is no racial bias present."
"[ORGANIZATION], will you please give 4723 a first reading? 4723, first reading on an ordinance of [ORGANIZATION], [ORGANIZATION], adding the status of homeless to the protected classes of persons under GPE1 Human Rights Ordinance, Chapter 2, Article 9 of GPE1 Municipal Code in establishing the definition for homeless. Thank you.",south bend,"Comment Type: [ask a genuine question, provide a fact or claim]
Critique Category: [government critique]
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The speaker is formally requesting a reading of an ordinance, which is a genuine procedural question/request. They provide a fact/claim about the ordinance's content—adding homelessness as a protected class. This action critiques current government protections (or lack thereof) and proposes a solution/intervention by expanding legal protections. There is no perception type evident, and no racial bias is present."
"Okay. But on that area, one corner is the location that is on dispute right now. And the reason that we are, that I am questioning that is because we got a lot of homeless people there.",south bend,"Comment Type: [provide a fact or claim, express their opinion]  
Critique Category: []  
Response Category: []  
Perception Type: [not in my backyard]  
racist: [No]  
Reasoning: The speaker states there are ""a lot of homeless people"" at a disputed location, which is both a claim and an expression of their concern. The comment reflects a ""not in my backyard"" perception, as the presence of homeless people is cited as a reason for questioning the location. There is no critique, solution, or racial bias present."
"DATE0. THE HIGH LEVEL 50 AFFORDABLE THE HIGH LEVEL 50 AFFORDABLE THE HIGH LEVEL 50 [ORGANIZATION] ACROSS 37 HOUSING UNITS ACROSS 37 HOUSING UNITS ACROSS 37 CITY-OWNED PROPERTIES CITY-OWNED PROPERTIES CITY-OWNED PROPERTIES AMIDST THE SINGLE-FAMILY HOMES,  Thank you. I just found the public portion is now closed.",south bend,"Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: []
Perception Type: [not in my backyard]
racist: [No]
Reasoning: The comment lists facts about affordable housing units and their location amidst single-family homes, which often signals tension or opposition to such developments in residential neighborhoods (""not in my backyard""). There is no explicit critique, solution, or racial bias present."
"So, as we've been navigating through homelessness, I want to turn your attention to this regional comparison between… That's great. Someone was just telling me [ORGANIZATION] that it… I'm going to ask everyone to mute their mics. Mr. [PERSON], you're muted, sir.",south bend,"Comment Type: [express others opinions, provide an observation]
Critique Category: []
Response Category: []
Perception Type: []
racist: [No]
Reasoning: The speaker references what someone else told them (express others opinions) and notes the act of navigating homelessness and a regional comparison (provide an observation). There is no critique, solution, or perception type present, and nothing indicates racial bias."
