Comment,City,Comment Type,Critique Category,Response Category,Perception Type,racist,Reasoning,Raw Response,Comment_ask a genuine question,Comment_ask a rhetorical question,Comment_provide a fact or claim,Comment_provide an observation,Comment_express their opinion,Comment_express others opinions,Critique_money aid allocation,Critique_government critique,Critique_societal critique,Response_solutions/interventions,Perception_personal interaction,Perception_media portrayal,Perception_not in my backyard,Perception_harmful generalization,Perception_deserving/undeserving,Racist_Flag
"[ORGANIZATION], will you please give 4723 a first reading? 4723, first reading on an ordinance of [ORGANIZATION], [ORGANIZATION], adding the status of homeless to the protected classes of persons under GPE1 Human Rights Ordinance, Chapter 2, Article 9 of GPE1 Municipal Code in establishing the definition for homeless. Thank you.",south bend,provide a fact or claim,none,none,"[none]  
racist: No  
Reasoning: The comment is a procedural statement about giving a first reading to an ordinance that would add homelessness as a protected class. It provides a factual claim about the ordinance's content but does not express an opinion, critique, or perception, nor does it contain racial bias.",No,"The comment is a procedural statement about giving a first reading to an ordinance that would add homelessness as a protected class. It provides a factual claim about the ordinance's content but does not express an opinion, critique, or perception, nor does it contain racial bias.","Comment Type: provide a fact or claim  
Critique Category: [none]  
Response Category: [none]  
Perception Type: [none]  
racist: No  
Reasoning: The comment is a procedural statement about giving a first reading to an ordinance that would add homelessness as a protected class. It provides a factual claim about the ordinance's content but does not express an opinion, critique, or perception, nor does it contain racial bias.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"So [ORGANIZATION] and the intake center, there's not a concrete report  uh... thing that that's moving forward at this time even though it is uh... being worked on actively uh... but uh... [ORGANIZATION] in the center for the homeless uh...  PROJECTS HAVE GOTTEN APPROVAL FROM THE COUNTY COUNCIL FOR THEIR ARP DOLLARS AND SOME OF THOSE DOLLARS THAT CONTEMPLATE AT SOME LEVEL CITY PARTNERSHIPS.",south bend,provide a fact or claim,money aid allocation,none,"[none]  
racist: No  
Reasoning: The speaker provides factual information about the status of projects and funding (ARP dollars) for homelessness initiatives, mentioning county council approval and potential city partnerships. There is no critique, solution, perception, or racial bias present.",No,"The speaker provides factual information about the status of projects and funding (ARP dollars) for homelessness initiatives, mentioning county council approval and potential city partnerships. There is no critique, solution, perception, or racial bias present.","Comment Type: provide a fact or claim  
Critique Category: money aid allocation  
Response Category: [none]  
Perception Type: [none]  
racist: No  
Reasoning: The speaker provides factual information about the status of projects and funding (ARP dollars) for homelessness initiatives, mentioning county council approval and potential city partnerships. There is no critique, solution, perception, or racial bias present.",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
the weather amnesty. We allocated funds there as well. And so within the hope with hope they were capped at 50 individuals during weather amnesty and it's still ongoing at the moment and then [ORGANIZATION].,south bend,"provide a fact or claim, provide an observation",money aid allocation,solutions/interventions,"[none]  
racist: No  
Reasoning: The speaker states that funds were allocated to the weather amnesty program and observes that it is capped at 50 individuals and ongoing. This is a factual claim and observation about resource allocation and a specific intervention. There is no critique of government or society, no personal or media perception, and no racial bias present.",No,"The speaker states that funds were allocated to the weather amnesty program and observes that it is capped at 50 individuals and ongoing. This is a factual claim and observation about resource allocation and a specific intervention. There is no critique of government or society, no personal or media perception, and no racial bias present.","Comment Type: provide a fact or claim, provide an observation  
Critique Category: money aid allocation  
Response Category: solutions/interventions  
Perception Type: [none]  
racist: No  
Reasoning: The speaker states that funds were allocated to the weather amnesty program and observes that it is capped at 50 individuals and ongoing. This is a factual claim and observation about resource allocation and a specific intervention. There is no critique of government or society, no personal or media perception, and no racial bias present.",0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"I think this is an important one as we're in a health pandemic, in a health crisis with [PERSON]. And so if we had a better tracking system, I think it would be well suited for our homeless individuals. Next, within the weather amnesty and housing subcommittee,  The recommendation is to continue operations at [ORGANIZATION], and those sites are [PERSON] and ORG2.",south bend,"express their opinion, provide a fact or claim, provide an observation",none,solutions/interventions,"[none]
racist: [No]
Reasoning: The speaker expresses their opinion about the importance of tracking systems during a health crisis and provides a claim that such a system would benefit homeless individuals. They also observe and report on the recommendation to continue operations at specific sites, which is a solution/intervention. There is no critique, perception type, or racial bias present.",No,"The speaker expresses their opinion about the importance of tracking systems during a health crisis and provides a claim that such a system would benefit homeless individuals. They also observe and report on the recommendation to continue operations at specific sites, which is a solution/intervention. There is no critique, perception type, or racial bias present.","Comment Type: [express their opinion, provide a fact or claim, provide an observation]
Critique Category: [none]
Response Category: [solutions/interventions]
Perception Type: [none]
racist: [No]
Reasoning: The speaker expresses their opinion about the importance of tracking systems during a health crisis and provides a claim that such a system would benefit homeless individuals. They also observe and report on the recommendation to continue operations at specific sites, which is a solution/intervention. There is no critique, perception type, or racial bias present.",0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
So I  I'm excited when we talk about affordable housing and it being done in the first district. And so thank you. And I'm excited about it.,south bend,express their opinion,none,none,"[none]  
racist: No  
Reasoning: The speaker expresses their positive feelings about affordable housing being developed in the first district but does not provide a critique, suggest solutions, or reference perceptions or racial bias.",No,"The speaker expresses their positive feelings about affordable housing being developed in the first district but does not provide a critique, suggest solutions, or reference perceptions or racial bias.","Comment Type: express their opinion  
Critique Category: [none]  
Response Category: [none]  
Perception Type: [none]  
racist: No  
Reasoning: The speaker expresses their positive feelings about affordable housing being developed in the first district but does not provide a critique, suggest solutions, or reference perceptions or racial bias.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Okay. But on that area, one corner is the location that is on dispute right now. And the reason that we are, that I am questioning that is because we got a lot of homeless people there.",south bend,"ask a genuine question, provide a fact or claim",,,"not in my backyard  
racist: No  
Reasoning: The speaker is questioning the location due to the presence of many homeless people, which is a genuine question about the suitability of the site. They provide a claim about the number of homeless people in the area. The concern about the location due to homelessness suggests a ""not in my backyard"" perception. There is no critique, solution, or racial bias present.",No,"The speaker is questioning the location due to the presence of many homeless people, which is a genuine question about the suitability of the site. They provide a claim about the number of homeless people in the area. The concern about the location due to homelessness suggests a ""not in my backyard"" perception. There is no critique, solution, or racial bias present.","Comment Type: ask a genuine question, provide a fact or claim  
Critique Category: none  
Response Category: none  
Perception Type: not in my backyard  
racist: No  
Reasoning: The speaker is questioning the location due to the presence of many homeless people, which is a genuine question about the suitability of the site. They provide a claim about the number of homeless people in the area. The concern about the location due to homelessness suggests a ""not in my backyard"" perception. There is no critique, solution, or racial bias present.",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"And so I just wanna thank you all and know that we're gonna continue to make progress and create an empathetic bridge of compassion to continue to navigate these uncertain times and to continue to fight to build a city that provides support and opportunity for all of those who call [ORGANIZATION] home. So thank you and happy to answer any questions that anyone might have. Thank you, Mr. [PERSON], and thank you for your presentation, but also every person that was a member of [ORGANIZATION].",south bend,express their opinion,,solutions/interventions,"[]
racist: No  
Reasoning: The speaker expresses gratitude and a commitment to compassion and support for all residents, which is an opinion and a positive stance. They reference ongoing efforts to build support and opportunity, which aligns with discussing interventions or solutions. There is no critique, perception type, or racial bias present.",No,"The speaker expresses gratitude and a commitment to compassion and support for all residents, which is an opinion and a positive stance. They reference ongoing efforts to build support and opportunity, which aligns with discussing interventions or solutions. There is no critique, perception type, or racial bias present.","Comment Type: [express their opinion]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: No  
Reasoning: The speaker expresses gratitude and a commitment to compassion and support for all residents, which is an opinion and a positive stance. They reference ongoing efforts to build support and opportunity, which aligns with discussing interventions or solutions. There is no critique, perception type, or racial bias present.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"It doesn't solve homelessness, but it would solve it go a long [STREET] to solving the problem you're currently experiencing with tents being erected on that property. Thank you. Any other questions at this time?",south bend,"express their opinion, provide an observation",,solutions/interventions,"[]
racist: No  
Reasoning: The speaker expresses their opinion that the proposed action would not solve homelessness overall but would address the specific issue of tents on the property (observation about the local situation). There is no critique of government, money, or society, nor any perception type present. No racial bias is evident.",No,"The speaker expresses their opinion that the proposed action would not solve homelessness overall but would address the specific issue of tents on the property (observation about the local situation). There is no critique of government, money, or society, nor any perception type present. No racial bias is evident.","Comment Type: [express their opinion, provide an observation]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: No  
Reasoning: The speaker expresses their opinion that the proposed action would not solve homelessness overall but would address the specific issue of tents on the property (observation about the local situation). There is no critique of government, money, or society, nor any perception type present. No racial bias is evident.",0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Voting no on the resolution was not a no vote for the homeless community. I had plenty to say at the committee meeting and the council meeting [ORGANIZATION] when voting on this resolution. So I'd just like to refer people to that recording and my public comments as well.,south bend,express their opinion,,,"[]
racist: No  
Reasoning: The speaker is clarifying their position and referencing their prior statements, expressing their own opinion about their vote. There is no critique of money, government, or society, no discussion of solutions, no perception type indicated, and no racial bias present.",No,"The speaker is clarifying their position and referencing their prior statements, expressing their own opinion about their vote. There is no critique of money, government, or society, no discussion of solutions, no perception type indicated, and no racial bias present.","Comment Type: [express their opinion]
Critique Category: []
Response Category: []
Perception Type: []
racist: No  
Reasoning: The speaker is clarifying their position and referencing their prior statements, expressing their own opinion about their vote. There is no critique of money, government, or society, no discussion of solutions, no perception type indicated, and no racial bias present.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"The [ORGANIZATION] program, [ORGANIZATION], ORG2, [PERSON], [LOCATION], and [ORGANIZATION]. And if you would like to be a part of that, please let me know. And I did contact the warming centers to see if we had any walk-ins and was pleased to know that there were not any walk-ins that went to any of our public locations that are deemed warming centers.",south bend,"provide a fact or claim, provide an observation, express their opinion",none,none,"[none]  
racist: No  
Reasoning: The speaker lists organizations and describes contacting warming centers to check for walk-ins, which is a factual claim and observation. The phrase ""was pleased to know"" expresses their opinion. There is no critique, solution, perception type, or racial bias present.",No,"The speaker lists organizations and describes contacting warming centers to check for walk-ins, which is a factual claim and observation. The phrase ""was pleased to know"" expresses their opinion. There is no critique, solution, perception type, or racial bias present.","Comment Type: provide a fact or claim, provide an observation, express their opinion  
Critique Category: [none]  
Response Category: [none]  
Perception Type: [none]  
racist: No  
Reasoning: The speaker lists organizations and describes contacting warming centers to check for walk-ins, which is a factual claim and observation. The phrase ""was pleased to know"" expresses their opinion. There is no critique, solution, perception type, or racial bias present.",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
