Comment,City,Raw Response
"So [ORGANIZATION] and the intake center, there's not a concrete report  uh... thing that that's moving forward at this time even though it is uh... being worked on actively uh... but uh... [ORGANIZATION] in the center for the homeless uh...  PROJECTS HAVE GOTTEN APPROVAL FROM THE COUNTY COUNCIL FOR THEIR ARP DOLLARS AND SOME OF THOSE DOLLARS THAT CONTEMPLATE AT SOME LEVEL CITY PARTNERSHIPS.",south bend,"Comment Type: [provide a fact or claim]
Critique Category: [money aid allocation]
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The speaker provides factual information about funding approvals and partnerships for homelessness-related projects, touching on aid allocation without critique, and references interventions like intake centers and projects; no perceptions or racial bias are evident."
"Okay. But on that area, one corner is the location that is on dispute right now. And the reason that we are, that I am questioning that is because we got a lot of homeless people there.",south bend,"Comment Type: [provide a fact or claim, express their opinion]
Critique Category: []
Response Category: []
Perception Type: [not in my backyard]
racist: [No]
Reasoning: The speaker states a fact about a disputed location with homeless presence and expresses personal questioning of it, implying local opposition (NIMBY), with no critiques, solutions, or racial elements."
"I think this is an important one as we're in a health pandemic, in a health crisis with [PERSON]. And so if we had a better tracking system, I think it would be well suited for our homeless individuals. Next, within the weather amnesty and housing subcommittee,  The recommendation is to continue operations at [ORGANIZATION], and those sites are [PERSON] and ORG2.",south bend,"Comment Type: [provide a fact or claim, express their opinion]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The speaker expresses opinions on the importance of a tracking system during a health crisis and provides claims about recommendations for continuing housing operations, which qualify as solutions; no critiques, perceptions, or racial elements are present."
the weather amnesty. We allocated funds there as well. And so within the hope with hope they were capped at 50 individuals during weather amnesty and it's still ongoing at the moment and then [ORGANIZATION].,south bend,"Comment Type: [provide a fact or claim]
Critique Category: [money aid allocation]
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The comment provides factual details on fund allocation for a weather amnesty program, including capacity limits and ongoing status, without questions, opinions, or biases; it fits as a neutral report on resource distribution and an intervention effort."
"It doesn't solve homelessness, but it would solve it go a long [STREET] to solving the problem you're currently experiencing with tents being erected on that property. Thank you. Any other questions at this time?",south bend,"Comment Type: [provide a fact or claim, express their opinion]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: [not in my backyard]
Racist: [No]
Reasoning: The speaker claims a proposed action won't end homelessness but would address local tents on"
"And so I just wanna thank you all and know that we're gonna continue to make progress and create an empathetic bridge of compassion to continue to navigate these uncertain times and to continue to fight to build a city that provides support and opportunity for all of those who call [ORGANIZATION] home. So thank you and happy to answer any questions that anyone might have. Thank you, Mr. [PERSON], and thank you for your presentation, but also every person that was a member of [ORGANIZATION].",south bend,"Comment Type: [provide a fact or claim, express their opinion]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The comment expresses gratitude and an opinion on building an empathetic, supportive city for all residents (including potentially homeless), while claiming future progress and offering to answer questions; it discusses broad solutions like creating support and opportunity but lacks critiques, specific perceptions, or racial bias."
So I  I'm excited when we talk about affordable housing and it being done in the first district. And so thank you. And I'm excited about it.,south bend,"Comment Type: [express their opinion]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The speaker expresses personal excitement and thanks about affordable housing as a solution in a specific district, without questions, facts, critiques, or perceptions of homelessness; no racial elements are present."
"[ORGANIZATION], will you please give 4723 a first reading? 4723, first reading on an ordinance of [ORGANIZATION], [ORGANIZATION], adding the status of homeless to the protected classes of persons under GPE1 Human Rights Ordinance, Chapter 2, Article 9 of GPE1 Municipal Code in establishing the definition for homeless. Thank you.",south bend,"Comment Type: [ask a genuine question, provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
Racist: [No]
Reasoning: The comment is a procedural request (genuine question) to read an ordinance"
Voting no on the resolution was not a no vote for the homeless community. I had plenty to say at the committee meeting and the council meeting [ORGANIZATION] when voting on this resolution. So I'd just like to refer people to that recording and my public comments as well.,south bend,"Comment Type: [provide a fact or claim, express their opinion]
Critique Category: []
Response Category: []
Perception Type: []
racist: [No]
Reasoning: The speaker clarifies their voting position as not being against the homeless community and refers to prior comments, which constitutes a factual claim and expression of personal opinion without critiques, solutions, perceptions, or racial bias."
"While [ORGANIZATION]'s not part of this because they're building a single-family home, [PERSON] and the ORG2 are excited to rezone these properties to be consistent with the neighborhood plan that showed these for you, too, to allow for a mix of housing in this neighborhood, and in particular, housing that can be built as and remain as affordable housing in a neighborhood that has ever-changing demand. We're excited to see that they're going to be doing two duplexes and then the quad here on these southern portions. The one on the far right, which is actually the northernmost lot for FAC0, is actually going to be a single-family home.",south bend,
