Comment,City,Comment Type,Critique Category,Response Category,Perception Type,racist,Reasoning,Raw Response,Comment_ask a genuine question,Comment_ask a rhetorical question,Comment_provide a fact or claim,Comment_provide an observation,Comment_express their opinion,Comment_express others opinions,Critique_money aid allocation,Critique_government critique,Critique_societal critique,Response_solutions/interventions,Perception_personal interaction,Perception_media portrayal,Perception_not in my backyard,Perception_harmful generalization,Perception_deserving/undeserving,Racist_Flag
"Next to [ORGANIZATION] punt, PERSON1 offers the most modest plan among the major Democratic candidates. [ORGANIZATION] control and moreLast year in [ORGANIZATION], Senator [PERSON] introduced a 2.5 trillion plan to mitigate the growing housing crisis across the country. PERSON2 plans to invest 1.48 trillion in [ORGANIZATION] in order to create, preserve and rehabilitate permanently affordable housing units within mixed-income development. An additional 400 billion will be invested to build 2 million mixed-income social housing units also administered through [ORGANIZATION]. He also plans on investing an additional 500 million dollars in the [ORGANIZATION] ORG1 ORG2 Section 515 program, an existing rural rental housing loans program to provide affordable rental housing for very low-, low-, and moderate-income families, elderly persons, and persons with disabilities. PERSON2 calls for increasing funding for [ORGANIZATION] to 3 billion to build, preserve, and rehabilitate affordable housing in Indian country. PERSON2 also plans on investing 70 billion dollars in improving public housing, including to provide broadband services, and wants to repeal the Faircloth Amendment which does not allow [LOCATION] to construct new public housing units.",southbend,provide a fact or claim,"money aid allocation, government critique",solutions/interventions,"[]
racist: [No]
Reasoning: The text provides a factual summary of political candidates' plans, detailing financial investments and specific programs. This falls under ""Money Aid Allocation"" and ""Solutions/Interventions."" It also includes a ""Government Critique"" by mentioning a plan to repeal the Faircloth Amendment, which is an existing government policy. The content is a neutral report and does not contain personal opinions, stereotypes, or racial bias.",No,"The text provides a factual summary of political candidates' plans, detailing financial investments and specific programs. This falls under ""Money Aid Allocation"" and ""Solutions/Interventions."" It also includes a ""Government Critique"" by mentioning a plan to repeal the Faircloth Amendment, which is an existing government policy. The content is a neutral report and does not contain personal opinions, stereotypes, or racial bias.","Comment Type: [provide a fact or claim]
Critique Category: [money aid allocation, government critique]
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The text provides a factual summary of political candidates' plans, detailing financial investments and specific programs. This falls under ""Money Aid Allocation"" and ""Solutions/Interventions."" It also includes a ""Government Critique"" by mentioning a plan to repeal the Faircloth Amendment, which is an existing government policy. The content is a neutral report and does not contain personal opinions, stereotypes, or racial bias.",0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"Delivered by [ORGANIZATION] By [ORGANIZATION]  [ORGANIZATION] ORG1 contributor [PERSON] went on the [STREET] for The [PERSON] Angle1 on [TIME]  and shared some horrifying insights about [ORGANIZATION], [PERSON]. Viewers of the new [PERSON] on the [STREET] segment were treated to scenes of boarded-up homes and filthy encampments populated by homeless people. Advertisement FREE",southbend,"provide a fact or claim, provide an observation, express others opinions",none,none,"[media portrayal, harmful generalization]
racist: No
Reasoning: The comment describes the content of a media segment, making it a factual claim about that segment's content and an observation of what was shown (""boarded-up homes and filthy encampments""). It also relays the ""horrifying insights"" of the contributor, which is expressing the views of others. The focus is on a media segment's depiction of homelessness, fitting the Media Portrayal category. The choice of words (""horrifying, "" ""filthy"") contributes to a negative stereotype, thus it is also a Harmful Generalization. The comment does not contain any racial bias.",No,"The comment describes the content of a media segment, making it a factual claim about that segment's content and an observation of what was shown (""boarded-up homes and filthy encampments""). It also relays the ""horrifying insights"" of the contributor, which is expressing the views of others. The focus is on a media segment's depiction of homelessness, fitting the Media Portrayal category. The choice of words (""horrifying,"" ""filthy"") contributes to a negative stereotype, thus it is also a Harmful Generalization. The comment does not contain any racial bias.","Comment Type: [provide a fact or claim, provide an observation, express others opinions]
Critique Category: [none]
Response Category: [none]
Perception Type: [media portrayal, harmful generalization]
racist: No
Reasoning: The comment describes the content of a media segment, making it a factual claim about that segment's content and an observation of what was shown (""boarded-up homes and filthy encampments""). It also relays the ""horrifying insights"" of the contributor, which is expressing the views of others. The focus is on a media segment's depiction of homelessness, fitting the Media Portrayal category. The choice of words (""horrifying,"" ""filthy"") contributes to a negative stereotype, thus it is also a Harmful Generalization. The comment does not contain any racial bias.",0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0
"The program allows students from the medical school and [ORGANIZATION] to learn about the factors that impact community health and well-being while serving at local nonprofits. The students are working on solutions for solving problems, such as youth homelessness, lack of access to mental healthcare, and unhealthy eating habits.",southbend,provide a fact or claim,,solutions/interventions,"[]
racist: [No]
Reasoning: The comment provides a factual description of an educational program aimed at developing solutions for youth homelessness and other community health issues. It is a neutral report on a specific intervention without expressing any critique, personal perception, or racial bias.",No,"The comment provides a factual description of an educational program aimed at developing solutions for youth homelessness and other community health issues. It is a neutral report on a specific intervention without expressing any critique, personal perception, or racial bias.","Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The comment provides a factual description of an educational program aimed at developing solutions for youth homelessness and other community health issues. It is a neutral report on a specific intervention without expressing any critique, personal perception, or racial bias.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"For another illustration, see [ORGANIZATION], [PERSON], where a new downtown is being built for a suburban city with no existing walkable downtownon 105-acre former [INSTITUTION] site see rendering at top of article. Downtown [ORGANIZATION]s plan comprises 2,300 residential units, including substantial affordable housing, and 1.7 million square feet of commercial uses, such as a grocery store, shops, restaurants, a movie theater, and office space. There will be 18 publicly accessible parks and civic spaces.",southbend,"provide a fact or claim, provide an observation",None,solutions/interventions,"[None]
racist: [No]
Reasoning: The comment provides factual details about a new downtown development project, observing its features like residential units and commercial spaces. It does not offer a critique or express a personal opinion. By specifically mentioning the inclusion of ""substantial affordable housing, "" it describes a tangible solution/intervention aimed at addressing housing needs. The comment is descriptive of an urban plan and contains no personal perceptions or racial bias.",No,"The comment provides factual details about a new downtown development project, observing its features like residential units and commercial spaces. It does not offer a critique or express a personal opinion. By specifically mentioning the inclusion of ""substantial affordable housing,"" it describes a tangible solution/intervention aimed at addressing housing needs. The comment is descriptive of an urban plan and contains no personal perceptions or racial bias.","Comment Type: [provide a fact or claim, provide an observation]
Critique Category: [None]
Response Category: [solutions/interventions]
Perception Type: [None]
racist: [No]
Reasoning: The comment provides factual details about a new downtown development project, observing its features like residential units and commercial spaces. It does not offer a critique or express a personal opinion. By specifically mentioning the inclusion of ""substantial affordable housing,"" it describes a tangible solution/intervention aimed at addressing housing needs. The comment is descriptive of an urban plan and contains no personal perceptions or racial bias.",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"The stubborn persistence of racial segregation in [ORGANIZATION] schools can be traced back to [ORGANIZATION] v. PERSON1, a pivotal [ORGANIZATION] case decided DATE0 DATE1. ORG1 HOMELESS CHILDREN A sobering new report says there could be more than 15,000 homeless children DATE2 or younger in [PERSON], with more than one in 10 in several rural counties lacking stable housing. ORG2 [ORGANIZATION] ASK Gov. [PERSON] is reviewing a proposal from the [ORGANIZATION] that asks for [PERSON] to improve the district high school.",southbend,provide a fact or claim,"government critique, societal critique",solutions/interventions,"[None]
racist: [No]
Reasoning: The text provides factual claims from a report on child homelessness (""more than 15, 000 homeless children""). It critiques societal issues (""racial segregation"") and historical government/legal decisions (""pivotal [ORGANIZATION] case""). It also mentions a potential solution by referencing a proposal to the governor to improve a school. No specific perception types are expressed, and while it discusses racism, the text itself is not racist.",No,"The text provides factual claims from a report on child homelessness (""more than 15,000 homeless children""). It critiques societal issues (""racial segregation"") and historical government/legal decisions (""pivotal [ORGANIZATION] case""). It also mentions a potential solution by referencing a proposal to the governor to improve a school. No specific perception types are expressed, and while it discusses racism, the text itself is not racist.","Comment Type: [provide a fact or claim]
Critique Category: [government critique, societal critique]
Response Category: [solutions/interventions]
Perception Type: [None]
racist: [No]
Reasoning: The text provides factual claims from a report on child homelessness (""more than 15,000 homeless children""). It critiques societal issues (""racial segregation"") and historical government/legal decisions (""pivotal [ORGANIZATION] case""). It also mentions a potential solution by referencing a proposal to the governor to improve a school. No specific perception types are expressed, and while it discusses racism, the text itself is not racist.",0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
"The funds could also be accessed during emergencies that cause delayed payments for rent. [ORGANIZATION] also plans to expand [ORGANIZATION] for developing affordable rental housing and investing in homeless assistance grants that provide emergency and long-term housing. She proposes a new federal tax credit, similar to [ORGANIZATION], to encourage investment in family-owned homes in distressed neighborhoods.",southbend,provide a fact or claim,money aid allocation,solutions/interventions,"[]
racist: [No]
Reasoning: The comment provides factual claims about specific financial solutions and interventions for homelessness, such as emergency funds, affordable housing development, assistance grants, and a federal tax credit. It focuses entirely on the allocation of money and proposed solutions without expressing opinions, critiques, or personal perceptions.",No,"The comment provides factual claims about specific financial solutions and interventions for homelessness, such as emergency funds, affordable housing development, assistance grants, and a federal tax credit. It focuses entirely on the allocation of money and proposed solutions without expressing opinions, critiques, or personal perceptions.","Comment Type: [provide a fact or claim]
Critique Category: [money aid allocation]
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The comment provides factual claims about specific financial solutions and interventions for homelessness, such as emergency funds, affordable housing development, assistance grants, and a federal tax credit. It focuses entirely on the allocation of money and proposed solutions without expressing opinions, critiques, or personal perceptions.",0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"While anyone who qualifies for affordable housing can apply for residency at the hotel, preference is given to artists.",southbend,provide a fact or claim,money aid allocation,solutions/interventions,"[deserving/undeserving]
racist: [No]
Reasoning: The comment states a factual claim about a specific housing intervention's allocation policy. This policy of giving preference to artists creates a distinction about who is more ""deserving"" of this particular resource over other qualified applicants. There is no racial bias in the statement.",No,"The comment states a factual claim about a specific housing intervention's allocation policy. This policy of giving preference to artists creates a distinction about who is more ""deserving"" of this particular resource over other qualified applicants. There is no racial bias in the statement.","Comment Type: [provide a fact or claim]
Critique Category: [money aid allocation]
Response Category: [solutions/interventions]
Perception Type: [deserving/undeserving]
racist: [No]
Reasoning: The comment states a factual claim about a specific housing intervention's allocation policy. This policy of giving preference to artists creates a distinction about who is more ""deserving"" of this particular resource over other qualified applicants. There is no racial bias in the statement.",0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
"DATE0, advocates for the homeless ventured through [ORGANIZATION] to conduct a pandemic-modified Point-in-Time Count. The DATE1 DATE2 process strives to enumerate people living outdoors, or in non-habitable shelters like abandoned houses, vehicles and RVs parked in vacant lots. The co-chairs of ORG0Bethany [ORGANIZATION] Director [PERSON] and [ORGANIZATION] Commissioner [PERSON]  led other volunteers to find people in those situations. That survey process continues through [ORGANIZATION].",southbend,provide a fact or claim,,solutions/interventions,"[]
racist: [No]
Reasoning: The comment is a factual report describing the Point-in-Time Count, which is an intervention used to gather data to address homelessness. It does not contain any opinions, critiques, personal perceptions, or racial bias.",No,"The comment is a factual report describing the Point-in-Time Count, which is an intervention used to gather data to address homelessness. It does not contain any opinions, critiques, personal perceptions, or racial bias.","Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The comment is a factual report describing the Point-in-Time Count, which is an intervention used to gather data to address homelessness. It does not contain any opinions, critiques, personal perceptions, or racial bias.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"With his family living in a [INSTITUTION], [ORGANIZATION] chose the latter, figuring, he said, Im going to take this so I can get home and immediately assist my family.",southbend,"express their opinion, provide an observation",,solutions/interventions,"[personal interaction]
racist: [No]
Reasoning: The comment is a direct quote from an individual sharing their personal observation and reasoning for making a decision. This decision is framed as a personal solution/intervention to help their family. It is a direct account of a personal experience and contains no critiques or racial bias.",No,The comment is a direct quote from an individual sharing their personal observation and reasoning for making a decision. This decision is framed as a personal solution/intervention to help their family. It is a direct account of a personal experience and contains no critiques or racial bias.,"Comment Type: [express their opinion, provide an observation]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: [personal interaction]
racist: [No]
Reasoning: The comment is a direct quote from an individual sharing their personal observation and reasoning for making a decision. This decision is framed as a personal solution/intervention to help their family. It is a direct account of a personal experience and contains no critiques or racial bias.",0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
[ORGANIZATION] housing plan is similar in scope to Senators [PERSON] and PERSON2 housing plans. He will invest 430 billion to create access to affordable housing for over 7 million households and to create an additional 2 million housing units through creation and preservation initiatives. He also plans on working to reform local zoning laws.,southbend,provide a fact or claim,"money aid allocation, government critique",solutions/interventions,"None
racist: No
Reasoning: The comment provides factual claims about a specific housing plan, detailing the financial investment (money aid allocation) and the plan to reform local zoning laws (government critique). The entire text describes a proposed solution to the housing crisis. It does not include any of the defined perception types or any racial bias.",No,"The comment provides factual claims about a specific housing plan, detailing the financial investment (money aid allocation) and the plan to reform local zoning laws (government critique). The entire text describes a proposed solution to the housing crisis. It does not include any of the defined perception types or any racial bias.","Comment Type: provide a fact or claim
Critique Category: money aid allocation, government critique
Response Category: solutions/interventions
Perception Type: None
racist: No
Reasoning: The comment provides factual claims about a specific housing plan, detailing the financial investment (money aid allocation) and the plan to reform local zoning laws (government critique). The entire text describes a proposed solution to the housing crisis. It does not include any of the defined perception types or any racial bias.",0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
