Comment,City,Raw Response
A homeless man came up to her while she was hanging more.,south bend,"Comment Type: [provide a fact or claim, provide an observation]
Critique Category: []
Response Category: []
Perception Type: [personal interaction]
racist: [No]
Reasoning: The comment describes a direct event involving a homeless man approaching someone, which is both a factual claim and an observation. It reflects a personal interaction but does not critique any system, propose solutions, or contain racial bias."
"These dogs were homeless before Hurricane Harvey flooded the [ORGANIZATION] area, where pet shelters are scrambling to make room for pets who have been separated from their people by the floods.",south bend,"Comment Type: [provide a fact or claim, provide an observation]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The comment provides factual information about the dogs being homeless before the hurricane and observes that shelters are struggling to accommodate pets separated by the disaster. It does not critique any system, propose solutions directly, or reference perceptions or racial bias."
Shes enlisted the help of her parents and her boyfriend to make homemade blankets and care baskets for the homeless in [ORGANIZATION]. She even set up a GoFundMe page to help raise money to purchase the supplies.,south bend,"Comment Type: [provide a fact or claim, provide an observation]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The comment describes specific actions taken to help the homeless (making blankets, care baskets, fundraising), which are factual and observable. It does not critique any system or policy, nor does it reference perceptions or racial bias. It clearly discusses a charitable intervention."
"The program allows students from the medical school and [ORGANIZATION] to learn about the factors that impact community health and well-being while serving at local nonprofits. The students are working on solutions for solving problems, such as youth homelessness, lack of access to mental healthcare, and unhealthy eating habits.",south bend,"Comment Type: [provide a fact or claim, provide an observation]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The comment describes a program where students learn about community health factors and work on solutions for issues like youth homelessness. It provides factual information about the program and observes the students' involvement in addressing these problems. There is no critique, perception type, or racial bias present."
[PERSON] A [ORGANIZATION] woman developed a pocket-sized resource guide with survival tips and other information for the newly homeless. PERSON0,south bend,"Comment Type: [provide a fact or claim, provide an observation]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The comment states a fact about a woman creating a resource guide for the newly homeless and observes her action. It does not critique any system or allocation, nor does it express an opinion or reference perceptions or racial bias. The creation of the guide is a solution/intervention."
"[ORGANIZATION] and [ORGANIZATION] broke ground [ORGANIZATION] on a 300,000 effort to provide short-term housing for homeless people in and around [ORGANIZATION].",south bend,"Comment Type: [provide a fact or claim]  
Critique Category: []  
Response Category: [solutions/interventions]  
Perception Type: []  
racist: [No]  
Reasoning: The comment reports a factual event—the groundbreaking of a short-term housing project for homeless people. It does not critique government, society, or money allocation, nor does it express an opinion or perception. The focus is on a solution/intervention (short-term housing). There is no racial bias present."
That is when [ORGANIZATION] decided to make the blankets and give them to the homeless.,south bend,"Comment Type: [provide a fact or claim, provide an observation]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The comment states a factual action (making and giving blankets to the homeless) and observes the organization's decision. It describes a charitable intervention but does not critique any system or express an opinion. There is no racial bias present."
"Hes called for creating an independent agency to protect Section 8 renters from discriminatory landlords, fully funding the existing [ORGANIZATION] at 1 billion over [ORGANIZATION] and ensuring formerly incarcerated residents are not excluded from public housing options. [ORGANIZATION] wants to use 25,000 ORG1 units in [LOCATION] for homeless households and also double the funding for the ORG2 homelessness assistance grants to over 26 billion over DATE2 to build permanent supportive housing. Additionally, he plans on providing 500 million in funding to states and localities for homeless outreach programs. [ORGANIZATION] also wants to invest 50 billion over [ORGANIZATION] to provide grants for community land trusts and other shared equity homeownership models and invest an additional 15 billion to enact a 21st Century Homestead Act, which will revitalize abandoned properties and historically disadvantaged communities.",south bend,"Comment Type: [provide a fact or claim]
Critique Category: [money aid allocation]
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The comment lists specific proposed funding amounts and policy actions aimed at addressing homelessness, which are factual claims about planned interventions. The focus on funding and resource allocation places it in the ""money aid allocation"" critique category. The proposals themselves are solutions/interventions. There is no personal perception or racial bias present."
Some of those folks get addicted to drugs or alcohol. Others wind up homeless. Some face both predicaments.,south bend,"Comment Type: [provide a fact or claim, provide an observation]
Critique Category: []
Response Category: []
Perception Type: []
racist: [No]
Reasoning: The comment describes different outcomes (addiction, homelessness, or both) that some people experience, presenting them as factual statements or observations without expressing an opinion, critique, or proposing solutions. There is no racial bias present."
"I remember when I was [ORGANIZATION], we would go through our clothes for [DATE] time and see what we had, she said. Extra hats, gloves, whatever we can donate, and we would all go down to the [INSTITUTION] and give that to them.",south bend,"Comment Type: [provide an observation, express their opinion, personal interaction]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: [personal interaction]
racist: [No]
Reasoning: The speaker shares a personal memory of gathering and donating clothes to people experiencing homelessness, which is both an observation and an expression of their opinion about charitable action. This reflects a direct personal interaction and describes a solution/intervention (donating clothing). There is no critique or racial bias present."
