Comment,City,Comment Type,Critique Category,Response Category,Perception Type,racist,Reasoning,Raw Response,Comment_ask a genuine question,Comment_ask a rhetorical question,Comment_provide a fact or claim,Comment_provide an observation,Comment_express their opinion,Comment_express others opinions,Critique_money aid allocation,Critique_government critique,Critique_societal critique,Response_solutions/interventions,Perception_personal interaction,Perception_media portrayal,Perception_not in my backyard,Perception_harmful generalization,Perception_deserving/undeserving,Racist_Flag
"For another illustration, see [ORGANIZATION], [PERSON], where a new downtown is being built for a suburban city with no existing walkable downtownon 105-acre former [INSTITUTION] site see rendering at top of article. Downtown [ORGANIZATION]s plan comprises 2,300 residential units, including substantial affordable housing, and 1.7 million square feet of commercial uses, such as a grocery store, shops, restaurants, a movie theater, and office space. There will be 18 publicly accessible parks and civic spaces.",southbend,"provide a fact or claim, provide an observation",,solutions/interventions,"[]
Racist: [No]
Reasoning: The comment describes a specific urban development project that includes affordable housing as an example or illustration, presenting factual details and observations about the plan without critique, while highlighting it as a potential intervention for housing issues related to homelessness; no racial elements are present.",No,"The comment describes a specific urban development project that includes affordable housing as an example or illustration, presenting factual details and observations about the plan without critique, while highlighting it as a potential intervention for housing issues related to homelessness; no racial elements are present.","Comment Type: [provide a fact or claim, provide an observation]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
Racist: [No]
Reasoning: The comment describes a specific urban development project that includes affordable housing as an example or illustration, presenting factual details and observations about the plan without critique, while highlighting it as a potential intervention for housing issues related to homelessness; no racial elements are present.",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"Since [ORGANIZATION], [ORGANIZATION] has made community investments supporting low to moderate income individuals and neighborhoods totaling more than 93 million in [ORGANIZATION]. This involves lending for affordable housing, small businesses, mortgage and home improvements as well as transformative philanthropy.",southbend,provide a fact or claim,,solutions/interventions,"[]
racist: [No]
Reasoning: The comment provides factual details about organizational investments in affordable housing and related support for low-income communities, which qualifies as solutions/interventions without any critique, opinions, perceptions, or racial elements.",No,"The comment provides factual details about organizational investments in affordable housing and related support for low-income communities, which qualifies as solutions/interventions without any critique, opinions, perceptions, or racial elements.","Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The comment provides factual details about organizational investments in affordable housing and related support for low-income communities, which qualifies as solutions/interventions without any critique, opinions, perceptions, or racial elements.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
[ORGANIZATION] housing plan is similar in scope to Senators [PERSON] and PERSON2 housing plans. He will invest 430 billion to create access to affordable housing for over 7 million households and to create an additional 2 million housing units through creation and preservation initiatives. He also plans on working to reform local zoning laws.,southbend,provide a fact or claim,,solutions/interventions,"[]
racist: [No]
Reasoning: The comment provides factual details about a housing plan, including investments and reforms aimed at addressing housing shortages related to homelessness, without critiques, perceptions, or bias; it focuses on policy solutions.",No,"The comment provides factual details about a housing plan, including investments and reforms aimed at addressing housing shortages related to homelessness, without critiques, perceptions, or bias; it focuses on policy solutions.","Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The comment provides factual details about a housing plan, including investments and reforms aimed at addressing housing shortages related to homelessness, without critiques, perceptions, or bias; it focuses on policy solutions.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"The stubborn persistence of racial segregation in [ORGANIZATION] schools can be traced back to [ORGANIZATION] v. PERSON1, a pivotal [ORGANIZATION] case decided DATE0 DATE1. ORG1 HOMELESS CHILDREN A sobering new report says there could be more than 15,000 homeless children DATE2 or younger in [PERSON], with more than one in 10 in several rural counties lacking stable housing. ORG2 [ORGANIZATION] ASK Gov. [PERSON] is reviewing a proposal from the [ORGANIZATION] that asks for [PERSON] to improve the district high school.",southbend,,,,,No,No reasoning provided.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The ranks of the homeless and addicted have grown in [ORGANIZATION] and [LOCATION]. That growth puts stress on assistance facilities and programs.,southbend,"provide a fact or claim, provide an observation",money aid allocation,,"]
racist: [No]
Reasoning: [The comment states factual claims about the growth of homelessness and addiction, observes its impact on resources, and critiques aid allocation by highlighting stress on facilities/programs; no racial elements or other categories apply.",No,"[The comment states factual claims about the growth of homelessness and addiction, observes its impact on resources, and critiques aid allocation by highlighting stress on facilities/programs; no racial elements or other categories apply.]","Comment Type: [provide a fact or claim, provide an observation]
Critique Category: [money aid allocation]
Response Category: []
Perception Type: []
racist: [No]
Reasoning: [The comment states factual claims about the growth of homelessness and addiction, observes its impact on resources, and critiques aid allocation by highlighting stress on facilities/programs; no racial elements or other categories apply.]",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
[ORGANIZATION]. Former [ORGANIZATION] Secretary [PERSON] toured a homeless camp in [ORGANIZATION] on [ORGANIZATION] and said more affordable housing is needed to ease the crisis of people living on the streets. He proposed a plan in [LOCATION] that calls for 40 billion in [ORGANIZATION] funding for the national ORG1. The money would go toward creating 3 million affordable apartments over [ORGANIZATION] in an effort to end homelessness.  [PERSON],southbend,[provide a fact or,,,,No,No reasoning provided.,Comment Type: [provide a fact or,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"He will also establish navigator services to help tenants find and secure housing. Additionally, [ORGANIZATION] plans to cut the homeless population in half using existing federal resources coupled with initiatives by local governments. He wants to double federal spending on homelessness from under 3 billion to 6 billion DATE0. He says he will increase federal support for housing-first strategies and provide housing-search support and short-term rental assistance. As preventative measures, he wants to expand the promotion of rapid-rehousing and permanent supportive housing, providing stability to the chronically homeless to address issues such as substance use disorder and mental-health services where needed and serving as a bridge to rental assistance. He will also integrate homeless support with critical wrap-around services and expand federal grants to cities that implement effective homelessness prevention programs. In order to increase housing supply, [ORGANIZATION] plans on increasing funding for the Low Income Housing Tax Credit and prioritizing new transportation funding for areas that have undertaken progressive zoning reform and reward municipalities that support affordable housing development in neighborhoods with good schools, transportation, and economic opportunity. He will also provide funding for public housing by streamlining [ORGANIZATION] program and increasing funding to [ORGANIZATION].",southbend,provide a fact or claim,,solutions/interventions,"[]
racist: [No]
Reasoning: The content details specific policy proposals and plans to address homelessness through funding, services, and housing initiatives, presenting them as factual claims without questions, opinions, critiques, or perceptions; no racial elements are present.",No,"The content details specific policy proposals and plans to address homelessness through funding, services, and housing initiatives, presenting them as factual claims without questions, opinions, critiques, or perceptions; no racial elements are present.","Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The content details specific policy proposals and plans to address homelessness through funding, services, and housing initiatives, presenting them as factual claims without questions, opinions, critiques, or perceptions; no racial elements are present.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"His goal includes one million new African-American homeowners. For local governments, [ORGANIZATION] wants streamline investments to address the housing crisis by building on President [PERSON], [ORGANIZATION] initiative by driving an interagency effort from [ORGANIZATION]. The PERSON1 DATE0 initiative was created to give technical assistance to local governments in order to execute their economic vision and strategies through public and private partnerships.",southbend,,,,,No,No reasoning provided.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[ORGANIZATION] and [ORGANIZATION] broke ground [ORGANIZATION] on a 300,000 effort to provide short-term housing for homeless people in and around [ORGANIZATION].",southbend,provide a fact or claim,,solutions/interventions,"[]
racist: [No]
Reasoning: The content is a neutral factual report on organizations initiating a housing project for homeless people, highlighting a solution without any questions, opinions, critiques, perceptions, or biases.",No,"The content is a neutral factual report on organizations initiating a housing project for homeless people, highlighting a solution without any questions, opinions, critiques, perceptions, or biases.","Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The content is a neutral factual report on organizations initiating a housing project for homeless people, highlighting a solution without any questions, opinions, critiques, perceptions, or biases.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"He survived the vetting that goes with getting a top security clearance and in [ORGANIZATION] signed on as an ensign in [ORGANIZATION]. [ORGANIZATION] tells us, perhaps too often, that in [LOCATION] he had to take time off from the [ORGANIZATION] mayors office because hed been called up for a DATE2 deployment in Afghanistan.6 [PERSON]-dogging Mayor [PERSON] with ORG1 outside a [ORGANIZATION] campaign visit to a [INSTITUTION] in [PERSON]. PERSON2  [ORGANIZATION] A failed campaign for state treasurer and, after winning two terms as mayor, a strategically useful but unsuccessful bid to become chairman of ORG2 put some starch in his political collar.",southbend,,,,,No,No reasoning provided.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
