Comment,City,Comment Type,Critique Category,Response Category,Perception Type,racist,Reasoning,Raw Response,Comment_ask a genuine question,Comment_ask a rhetorical question,Comment_provide a fact or claim,Comment_provide an observation,Comment_express their opinion,Comment_express others opinions,Critique_money aid allocation,Critique_government critique,Critique_societal critique,Response_solutions/interventions,Perception_personal interaction,Perception_media portrayal,Perception_not in my backyard,Perception_harmful generalization,Perception_deserving/undeserving,Racist_Flag
The ranks of the homeless and addicted have grown in [ORGANIZATION] and [LOCATION]. That growth puts stress on assistance facilities and programs.,southbend,provide a fact or claim,societal critique,,"]
racist: [No",No,"This sentence reports data regarding increases among certain populations without making any judgments; however, by mentioning ""assistance facilities,"" there may imply criticism towards society's ability to handle these growing numbers effectively.","Comment Type: [provide a fact or claim]
Critique Category: [societal critique]
Response Category: []
Perception Type: []
racist: [No]

Reasoning: This sentence reports data regarding increases among certain populations without making any judgments; however, by mentioning ""assistance facilities,"" there may imply criticism towards society's ability to handle these growing numbers effectively.",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Since [ORGANIZATION], [ORGANIZATION] has made community investments supporting low to moderate income individuals and neighborhoods totaling more than 93 million in [ORGANIZATION]. This involves lending for affordable housing, small businesses, mortgage and home improvements as well as transformative philanthropy.",southbend,provide a fact or claim,,,"]
racist: [No",No,"The content presents statistical information regarding funding allocations by ORG A towards various initiatives aimed at assisting lower-income communities without expressing any particular viewpoint or making judgments based on race or other biases. It simply states facts concerning monetary contributions from organizations within certain sectors such as affordable housing development, business growth assistance, mortgages improvement efforts, etc., which do not fall under subjective perceptions like 'not in my backyard' sentiments nor imply direct interactions between persons involved.","Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: []
Perception Type: []
racist: [No]

Reasoning: The content presents statistical information regarding funding allocations by ORG A towards various initiatives aimed at assisting lower-income communities without expressing any particular viewpoint or making judgments based on race or other biases. It simply states facts concerning monetary contributions from organizations within certain sectors such as affordable housing development, business growth assistance, mortgages improvement efforts, etc., which do not fall under subjective perceptions like 'not in my backyard' sentiments nor imply direct interactions between persons involved.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"For another illustration, see [ORGANIZATION], [PERSON], where a new downtown is being built for a suburban city with no existing walkable downtownon 105-acre former [INSTITUTION] site see rendering at top of article. Downtown [ORGANIZATION]s plan comprises 2,300 residential units, including substantial affordable housing, and 1.7 million square feet of commercial uses, such as a grocery store, shops, restaurants, a movie theater, and office space. There will be 18 publicly accessible parks and civic spaces.",southbend,provide a fact or claim,,solutions/interventions,"]
racist: [No",No,"This paragraph presents information regarding urban development plans by providing details like number of residences, types of businesses planned, etc., without any subjective commentary or criticism towards individuals based on race.","Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]

Reasoning: This paragraph presents information regarding urban development plans by providing details like number of residences, types of businesses planned, etc., without any subjective commentary or criticism towards individuals based on race.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"The stubborn persistence of racial segregation in [ORGANIZATION] schools can be traced back to [ORGANIZATION] v. PERSON1, a pivotal [ORGANIZATION] case decided DATE0 DATE1. ORG1 HOMELESS CHILDREN A sobering new report says there could be more than 15,000 homeless children DATE2 or younger in [PERSON], with more than one in 10 in several rural counties lacking stable housing. ORG2 [ORGANIZATION] ASK Gov. [PERSON] is reviewing a proposal from the [ORGANIZATION] that asks for [PERSON] to improve the district high school.",southbend,provide a fact or claim,societal critique,,"media portrayal]
racist: [No",No,"This article presents statistical information regarding child homelessness without making any direct claims against individuals based on race; however, since it's discussing systemic problems within society's institutions like education (""racial segregation""), there's potential criticism implied towards those structures which may indirectly relate to broader discussions involving racism but isn't explicitly stated here.","Comment Type: [provide a fact or claim]
Critique Category: [societal critique]
Response Category: []
Perception Type: [media portrayal]
racist: [No]

Reasoning: This article presents statistical information regarding child homelessness without making any direct claims against individuals based on race; however, since it's discussing systemic problems within society's institutions like education (""racial segregation""), there's potential criticism implied towards those structures which may indirectly relate to broader discussions involving racism but isn't explicitly stated here.",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
[ORGANIZATION]. Former [ORGANIZATION] Secretary [PERSON] toured a homeless camp in [ORGANIZATION] on [ORGANIZATION] and said more affordable housing is needed to ease the crisis of people living on the streets. He proposed a plan in [LOCATION] that calls for 40 billion in [ORGANIZATION] funding for the national ORG1. The money would go toward creating 3 million affordable apartments over [ORGANIZATION] in an effort to end homelessness.  [PERSON],southbend,"provide a fact or claim, propose solutions/investments",,solutions/interventions,"]
racist: [No",No,"This article presents information from former secretary's visit regarding his proposal which includes facts such as ""creating 3 million affordable apartments"" along with suggesting investments through ""[ORG1]"" funds towards solving homelessness by providing potential solution via investment plans without any apparent negative perception types like racism involved.","Comment Type: [provide a fact or claim, propose solutions/investments]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]

Reasoning: This article presents information from former secretary's visit regarding his proposal which includes facts such as ""creating 3 million affordable apartments"" along with suggesting investments through ""[ORG1]"" funds towards solving homelessness by providing potential solution via investment plans without any apparent negative perception types like racism involved.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
[ORGANIZATION] housing plan is similar in scope to Senators [PERSON] and PERSON2 housing plans. He will invest 430 billion to create access to affordable housing for over 7 million households and to create an additional 2 million housing units through creation and preservation initiatives. He also plans on working to reform local zoning laws.,southbend,provide a fact or claim,,solutions/interventions,"]
racist: [No",No,"This article presents facts regarding Senator's investment into affordable housing projects which includes both funding details (""invests 430 billion"") and goals (""create access to affordable housing for over 7 million households"" and ""an additional 2 million housing units""). It does mention efforts towards changing existing regulations by addressing ""[reform local zoning laws]"", but there isn't any direct criticism nor praise expressed within these lines; hence no category applies here other than providing information about potential policy measures aimed at solving part of society’s problems.","Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]

Reasoning: This article presents facts regarding Senator's investment into affordable housing projects which includes both funding details (""invests 430 billion"") and goals (""create access to affordable housing for over 7 million households"" and ""an additional 2 million housing units""). It does mention efforts towards changing existing regulations by addressing ""[reform local zoning laws]"", but there isn't any direct criticism nor praise expressed within these lines; hence no category applies here other than providing information about potential policy measures aimed at solving part of society’s problems.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"His goal includes one million new African-American homeowners. For local governments, [ORGANIZATION] wants streamline investments to address the housing crisis by building on President [PERSON], [ORGANIZATION] initiative by driving an interagency effort from [ORGANIZATION]. The PERSON1 DATE0 initiative was created to give technical assistance to local governments in order to execute their economic vision and strategies through public and private partnerships.",southbend,Express Their Opinion,Government Critique,Solutions/Interventions,"]
Racist: [No",No,"This article discusses initiatives aimed at increasing homeownership among minority communities specifically mentioning ""one million new African-American homeowners."" It critiques existing governmental efforts (""streamline investments"") but does so within the context of promoting positive change rather than expressing negative sentiments towards any group based solely on race.","Comment Type: [Express Their Opinion]
Critique Category: [Government Critique]
Response Category: [Solutions/Interventions]
Perception Type: []
Racist: [No]

Reasoning: This article discusses initiatives aimed at increasing homeownership among minority communities specifically mentioning ""one million new African-American homeowners."" It critiques existing governmental efforts (""streamline investments"") but does so within the context of promoting positive change rather than expressing negative sentiments towards any group based solely on race.",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"He will also establish navigator services to help tenants find and secure housing. Additionally, [ORGANIZATION] plans to cut the homeless population in half using existing federal resources coupled with initiatives by local governments. He wants to double federal spending on homelessness from under 3 billion to 6 billion DATE0. He says he will increase federal support for housing-first strategies and provide housing-search support and short-term rental assistance. As preventative measures, he wants to expand the promotion of rapid-rehousing and permanent supportive housing, providing stability to the chronically homeless to address issues such as substance use disorder and mental-health services where needed and serving as a bridge to rental assistance. He will also integrate homeless support with critical wrap-around services and expand federal grants to cities that implement effective homelessness prevention programs. In order to increase housing supply, [ORGANIZATION] plans on increasing funding for the Low Income Housing Tax Credit and prioritizing new transportation funding for areas that have undertaken progressive zoning reform and reward municipalities that support affordable housing development in neighborhoods with good schools, transportation, and economic opportunity. He will also provide funding for public housing by streamlining [ORGANIZATION] program and increasing funding to [ORGANIZATION].",southbend,"provide a fact or claim, offer solutions/investments, propose policy changes",,solutions/interventions,"]
racist: [No",No,"This article discusses various proposals made during a presidential campaign regarding addressing homelessness through increased investment, expanded access to low-income tax credits, improved coordination between agencies like HUD and HHS, expansion of Medicaid coverage among other things. It does not contain any negative perceptions towards individuals experiencing poverty nor makes assumptions based upon race, ethnicity, religion etc., hence no racism detected here.","Comment Type: [provide a fact or claim, offer solutions/investments, propose policy changes]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]

Reasoning: This article discusses various proposals made during a presidential campaign regarding addressing homelessness through increased investment, expanded access to low-income tax credits, improved coordination between agencies like HUD and HHS, expansion of Medicaid coverage among other things. It does not contain any negative perceptions towards individuals experiencing poverty nor makes assumptions based upon race, ethnicity, religion etc., hence no racism detected here.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"Hes called for creating an independent agency to protect Section 8 renters from discriminatory landlords, fully funding the existing [ORGANIZATION] at 1 billion over [ORGANIZATION] and ensuring formerly incarcerated residents are not excluded from public housing options. [ORGANIZATION] wants to use 25,000 ORG1 units in [LOCATION] for homeless households and also double the funding for the ORG2 homelessness assistance grants to over 26 billion over DATE2 to build permanent supportive housing. Additionally, he plans on providing 500 million in funding to states and localities for homeless outreach programs. [ORGANIZATION] also wants to invest 50 billion over [ORGANIZATION] to provide grants for community land trusts and other shared equity homeownership models and invest an additional 15 billion to enact a 21st Century Homestead Act, which will revitalize abandoned properties and historically disadvantaged communities.",southbend,provide a fact or claim,government critique,solutions/interventions,"]
racist: [No",No,"This article discusses various proposals by [ORGANIZATION] aimed at addressing different aspects of poverty-related challenges such as discrimination against tenants living under section 8 rental agreements, expanding access to affordable homes through increased funds allocated towards building new houses using innovative methods like Community Land Trusts, investing more money into revitalizing neglected areas within cities where marginalized groups tend to live disproportionately due to historical reasons, etc., without any apparent negative stereotyping based upon race or ethnicity.","Comment Type: [provide a fact or claim]
Critique Category: [government critique]
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]

Reasoning: This article discusses various proposals by [ORGANIZATION] aimed at addressing different aspects of poverty-related challenges such as discrimination against tenants living under section 8 rental agreements, expanding access to affordable homes through increased funds allocated towards building new houses using innovative methods like Community Land Trusts, investing more money into revitalizing neglected areas within cities where marginalized groups tend to live disproportionately due to historical reasons, etc., without any apparent negative stereotyping based upon race or ethnicity.",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"He survived the vetting that goes with getting a top security clearance and in [ORGANIZATION] signed on as an ensign in [ORGANIZATION]. [ORGANIZATION] tells us, perhaps too often, that in [LOCATION] he had to take time off from the [ORGANIZATION] mayors office because hed been called up for a DATE2 deployment in Afghanistan.6 [PERSON]-dogging Mayor [PERSON] with ORG1 outside a [ORGANIZATION] campaign visit to a [INSTITUTION] in [PERSON]. PERSON2  [ORGANIZATION] A failed campaign for state treasurer and, after winning two terms as mayor, a strategically useful but unsuccessful bid to become chairman of ORG2 put some starch in his political collar.",southbend,Express Their Opinion,Government Critique,,"Not in My Backyard]
racist: [No",No,"This article criticizes the individual's involvement in politics due to past military service (""vetting"") which implies skepticism towards someone using such credentials politically without questioning if it's appropriate. It also suggests opposition by mentioning ""person-dogging"" implying disapproval among locals regarding someone's presence at events near one's home area.","Comment Type: [Express Their Opinion]
Critique Category: [Government Critique]
Response Category: []
Perception Type: [Not in My Backyard]
racist: [No]

Reasoning: This article criticizes the individual's involvement in politics due to past military service (""vetting"") which implies skepticism towards someone using such credentials politically without questioning if it's appropriate. It also suggests opposition by mentioning ""person-dogging"" implying disapproval among locals regarding someone's presence at events near one's home area.",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
