Comment,City,Raw Response
Group behind new low-barrier [INSTITUTION] in [ORGANIZATION] embarks on next steps [URL],south bend,"Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The post is a factual statement announcing the next steps for a specific ""low-barrier institution,"" which is a type of solution or intervention for homelessness. It does not contain any opinions, critiques, perceptions, or racial bias."
[USER] Ran GPE0 into a shit.  hole. High crime and homelessness. Taxes went through the roof. Don’t be a hypocrite,south bend,"Comment Type: [provide a fact or claim, express their opinion]
Critique Category: [government critique]
Response Category: []
Perception Type: [harmful generalization]
racist: [No]
Reasoning: [The user expresses their opinion by calling a place a ""shit. hole"" and makes claims about high crime, homelessness, and taxes. This is a critique of the governance of the area. The post links homelessness directly to crime and urban decay, which is a harmful generalization. The comment does not contain any racial bias.]"
"3535 [ORGANIZATION] ([ORGANIZATION])
[PERSON] 135

Unwanted Person

Caller advising of a homeless person sleeping on the property. The person has been asked to leave multiple times. 

#[PERSON]",south bend,"Comment Type: [provide a fact or claim, provide an observation]
Critique Category: []
Response Category: []
Perception Type: [personal interaction, not in my backyard]
racist: [No]
Reasoning: The post is a factual report of a call about an ""unwanted person"" identified as homeless on a property. It relays the caller's observation and their desire for the person to be removed, which is a form of personal interaction and a ""not in my backyard"" sentiment. The post itself is a neutral report and does not contain any critique, proposed solutions, or racial bias."
"#[PERSON]: A [ORGANIZATION] family served [ORGANIZATION] dinner to more than 100 homeless people [LOCATION], and are planning on helping even more DATE2!

[LOCATION]",south bend,"Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: [personal interaction]
racist: [No]
Reasoning: The comment provides a factual claim about a family's charitable action. This action is a direct intervention to help people experiencing homelessness, and the post describes a positive personal interaction. The comment does not contain any critique or racial bias."
PERSON0 You couldn’t even fill the potholes in [ORGANIZATION]. You forced Americans out of jobs and affordable housing to favor illegals. [ORGANIZATION] is still a shithole.,south bend,"Comment Type: [provide a fact or claim, express their opinion]
Critique Category: [money aid allocation, government critique]
Response Category: []
Perception Type: [harmful generalization, deserving/undeserving]
racist: [Yes]
Reasoning: The user expresses a strong opinion and makes claims criticizing a governing body ([ORGANIZATION]) for its perceived failures and allocation of resources. The comment makes a harmful generalization by blaming ""illegals"" for housing and job shortages affecting ""Americans,"" creating a deserving/undeserving narrative. The use of the term ""illegals"" in this context is a common xenophobic and implicitly racist trope."
"Local organizations teaming up and camping out to raise awareness and collect donations for those who are homeless in [ORGANIZATION]. [USER] has more on the seventh DATE0 ""Sleep-Out for the Homeless""
[URL]",south bend,"Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The post is a factual report about a local event (""Sleep-Out for the Homeless"") designed as an intervention to raise awareness and collect donations. It does not contain any critique, personal perception types, or racial bias."
"[ORGANIZATION], a #nationwide #nonprofit #provider of affordable #multifamily #housing for older #adults, held a ground-breaking #ceremony for FAC0 in [ORGANIZATION], [PERSON].

[URL]",south bend,"Comment Type: [provide a fact or claim]
Critique Category: [none]
Response Category: [solutions/interventions]
Perception Type: [none]
racist: [No]
Reasoning: The post is a factual announcement about a nonprofit's groundbreaking ceremony for an affordable housing project. This project represents a solution/intervention for housing insecurity among older adults, which is a preventative measure against homelessness. The post does not contain any critique, personal perception, or racial bias."
"Since you're all here, please consider donating to [ORGANIZATION]. They do wonderful work for the poor, and your kindness is especially appreciated during the frigid [ORGANIZATION]. [URL]",south bend,"Comment Type: [provide a fact or claim, express their opinion]
Critique Category: [N/A]
Response Category: [solutions/interventions]
Perception Type: [N/A]
racist: [No]
Reasoning: The user expresses their opinion that the organization does ""wonderful work"" and makes a claim about their effectiveness. They propose a specific solution/intervention by encouraging donations to this organization. The comment does not contain any critiques, specific perceptions of PEH, or racial bias."
"813 S. FAC0 ([ORGANIZATION])
[ORGANIZATION] 

[TIME]: They advised this was NOT a car that rolled over. Sounds like they said  “cart”. The patient is alert.

#SouthBend [URL]",south bend,"Comment Type: [provide a fact or claim, provide an observation]
Critique Category: []
Response Category: []
Perception Type: []
racist: No
Reasoning: The post is a neutral report from what appears to be an emergency scanner feed. It provides facts (""The patient is alert"") and an observation (""Sounds like they said 'cart'"") about an incident. It does not express any opinions, critiques, solutions, or perceptions related to homelessness, nor does it contain any racial bias."
"The deal to build a new homeless intake center in [ORGANIZATION] is close to completion.
[URL]",south bend,"Comment Type: [provide a fact or claim]
Critique Category: [none]
Response Category: [solutions/interventions]
Perception Type: [none]
racist: [No]
Reasoning: The tweet provides a factual statement about a specific action being taken to address homelessness (a new intake center), which qualifies as a solution/intervention. The comment is a neutral report and does not contain any critiques, personal perceptions, or racial bias."
