Comment,City,Comment Type,Critique Category,Response Category,Perception Type,racist,Reasoning,Raw Response,Comment_ask a genuine question,Comment_ask a rhetorical question,Comment_provide a fact or claim,Comment_provide an observation,Comment_express their opinion,Comment_express others opinions,Critique_money aid allocation,Critique_government critique,Critique_societal critique,Response_solutions/interventions,Perception_personal interaction,Perception_media portrayal,Perception_not in my backyard,Perception_harmful generalization,Perception_deserving/undeserving,Racist_Flag
Group behind new low-barrier [INSTITUTION] in [ORGANIZATION] embarks on next steps [URL],south bend,provide a fact or claim,,solutions/interventions,"[]
racist: [No]
Reasoning: The post is a factual statement, likely a headline, announcing the next steps for a new institution aimed at helping the homeless. This institution represents a solution/intervention. The comment is neutral and contains no critique or specific perception.",No,"The post is a factual statement, likely a headline, announcing the next steps for a new institution aimed at helping the homeless. This institution represents a solution/intervention. The comment is neutral and contains no critique or specific perception.","Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The post is a factual statement, likely a headline, announcing the next steps for a new institution aimed at helping the homeless. This institution represents a solution/intervention. The comment is neutral and contains no critique or specific perception.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"#[PERSON]: A [ORGANIZATION] family served [ORGANIZATION] dinner to more than 100 homeless people [LOCATION], and are planning on helping even more DATE2!

[LOCATION]",south bend,provide a fact or claim,,solutions/interventions,"[]
racist: [No]
Reasoning: The post is a factual report about a family's charitable action (serving dinner), which constitutes a type of intervention. It does not offer any critique, express a specific perception, or contain racial bias.",No,"The post is a factual report about a family's charitable action (serving dinner), which constitutes a type of intervention. It does not offer any critique, express a specific perception, or contain racial bias.","Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The post is a factual report about a family's charitable action (serving dinner), which constitutes a type of intervention. It does not offer any critique, express a specific perception, or contain racial bias.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"813 S. FAC0 ([ORGANIZATION])
[ORGANIZATION] 

[TIME]: They advised this was NOT a car that rolled over. Sounds like they said  “cart”. The patient is alert.

#SouthBend [URL]",south bend,provide an observation,,,"[]
racist: [No]
Reasoning: The post is a real-time observation, likely from a police or emergency services scanner, reporting an incident involving a person and a ""cart."" It does not provide any opinions, critiques, solutions, or perceptions about homelessness itself. It is a neutral report of an event.",No,"The post is a real-time observation, likely from a police or emergency services scanner, reporting an incident involving a person and a ""cart."" It does not provide any opinions, critiques, solutions, or perceptions about homelessness itself. It is a neutral report of an event.","Comment Type: [provide an observation]
Critique Category: []
Response Category: []
Perception Type: []
racist: [No]
Reasoning: The post is a real-time observation, likely from a police or emergency services scanner, reporting an incident involving a person and a ""cart."" It does not provide any opinions, critiques, solutions, or perceptions about homelessness itself. It is a neutral report of an event.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Local organizations teaming up and camping out to raise awareness and collect donations for those who are homeless in [ORGANIZATION]. [USER] has more on the seventh DATE0 ""Sleep-Out for the Homeless""
[URL]",south bend,provide a fact or claim,,solutions/interventions,"[]
racist: [No]
Reasoning: The post is a factual report on a local charity event (""Sleep-Out for the Homeless"") designed to raise awareness and collect donations. It describes a specific intervention without expressing opinions, critiques, or racial bias.",No,"The post is a factual report on a local charity event (""Sleep-Out for the Homeless"") designed to raise awareness and collect donations. It describes a specific intervention without expressing opinions, critiques, or racial bias.","Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The post is a factual report on a local charity event (""Sleep-Out for the Homeless"") designed to raise awareness and collect donations. It describes a specific intervention without expressing opinions, critiques, or racial bias.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"3535 [ORGANIZATION] ([ORGANIZATION])
[PERSON] 135

Unwanted Person

Caller advising of a homeless person sleeping on the property. The person has been asked to leave multiple times. 

#[PERSON]",south bend,"provide a fact or claim, provide an observation, express others opinions",,,"[personal interaction, not in my backyard, deserving/undeserving]
racist: [No]
Reasoning: The post is a report of a call about a specific ""unwanted"" homeless person on a property. This is a second-hand observation of a personal interaction. The caller's desire to have the person removed from their property is a ""not in my backyard"" sentiment and implies a judgment about who deserves to be there. The post is a factual-style report with no racial undertones.",No,"The post is a report of a call about a specific ""unwanted"" homeless person on a property. This is a second-hand observation of a personal interaction. The caller's desire to have the person removed from their property is a ""not in my backyard"" sentiment and implies a judgment about who deserves to be there. The post is a factual-style report with no racial undertones.","Comment Type: [provide a fact or claim, provide an observation, express others opinions]
Critique Category: []
Response Category: []
Perception Type: [personal interaction, not in my backyard, deserving/undeserving]
racist: [No]
Reasoning: The post is a report of a call about a specific ""unwanted"" homeless person on a property. This is a second-hand observation of a personal interaction. The caller's desire to have the person removed from their property is a ""not in my backyard"" sentiment and implies a judgment about who deserves to be there. The post is a factual-style report with no racial undertones.",0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0
"Since you're all here, please consider donating to [ORGANIZATION]. They do wonderful work for the poor, and your kindness is especially appreciated during the frigid [ORGANIZATION]. [URL]",south bend,"provide a fact or claim, express their opinion",,solutions/interventions,"[]
racist: [No]
Reasoning: The user expresses their opinion that the organization does ""wonderful work"" (which is also a claim) and proposes a direct solution/intervention by asking for donations to help the poor. The post contains no critique, specific perception types, or racial bias.",No,"The user expresses their opinion that the organization does ""wonderful work"" (which is also a claim) and proposes a direct solution/intervention by asking for donations to help the poor. The post contains no critique, specific perception types, or racial bias.","Comment Type: [provide a fact or claim, express their opinion]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The user expresses their opinion that the organization does ""wonderful work"" (which is also a claim) and proposes a direct solution/intervention by asking for donations to help the poor. The post contains no critique, specific perception types, or racial bias.",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
[USER] Ran GPE0 into a shit.  hole. High crime and homelessness. Taxes went through the roof. Don’t be a hypocrite,south bend,"provide a fact or claim, express their opinion",government critique,,"[harmful generalization]
racist: [No]
Reasoning: The user is expressing their opinion by calling a place a ""shit. hole"" and criticizing a person. They are also making a claim that this person's actions led to high crime, homelessness, and high taxes, which constitutes a critique of governance. The post makes a harmful generalization by associating homelessness directly with high crime and urban decay.",No,"The user is expressing their opinion by calling a place a ""shit. hole"" and criticizing a person. They are also making a claim that this person's actions led to high crime, homelessness, and high taxes, which constitutes a critique of governance. The post makes a harmful generalization by associating homelessness directly with high crime and urban decay.","Comment Type: [provide a fact or claim, express their opinion]
Critique Category: [government critique]
Response Category: []
Perception Type: [harmful generalization]
racist: [No]
Reasoning: The user is expressing their opinion by calling a place a ""shit. hole"" and criticizing a person. They are also making a claim that this person's actions led to high crime, homelessness, and high taxes, which constitutes a critique of governance. The post makes a harmful generalization by associating homelessness directly with high crime and urban decay.",0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
PERSON0 You couldn’t even fill the potholes in [ORGANIZATION]. You forced Americans out of jobs and affordable housing to favor illegals. [ORGANIZATION] is still a shithole.,south bend,"provide a fact or claim, express their opinion","money aid allocation, government critique",,"[harmful generalization, deserving/undeserving]
racist: [Yes]
Reasoning: The post makes claims about a public figure's performance and criticizes them for allegedly favoring ""illegals"" over ""Americans"" for jobs and housing. This is a critique of government and resource allocation. The use of the derogatory term ""illegals"" and pitting this group against citizens for resources is a harmful generalization, implies a judgment on who is deserving of help, and carries implicit racial bias.",No,"The post makes claims about a public figure's performance and criticizes them for allegedly favoring ""illegals"" over ""Americans"" for jobs and housing. This is a critique of government and resource allocation. The use of the derogatory term ""illegals"" and pitting this group against citizens for resources is a harmful generalization, implies a judgment on who is deserving of help, and carries implicit racial bias.","Comment Type: [provide a fact or claim, express their opinion]
Critique Category: [money aid allocation, government critique]
Response Category: []
Perception Type: [harmful generalization, deserving/undeserving]
racist: [Yes]
Reasoning: The post makes claims about a public figure's performance and criticizes them for allegedly favoring ""illegals"" over ""Americans"" for jobs and housing. This is a critique of government and resource allocation. The use of the derogatory term ""illegals"" and pitting this group against citizens for resources is a harmful generalization, implies a judgment on who is deserving of help, and carries implicit racial bias.",0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0
"[ORGANIZATION], a #nationwide #nonprofit #provider of affordable #multifamily #housing for older #adults, held a ground-breaking #ceremony for FAC0 in [ORGANIZATION], [PERSON].

[URL]",south bend,provide a fact or claim,,solutions/interventions,"[]
racist: [No]
Reasoning: The post is a factual announcement about a groundbreaking ceremony for an affordable housing project. It presents this project as a solution/intervention for housing needs among older adults. It does not contain any critique, personal perception, or racial bias.",No,"The post is a factual announcement about a groundbreaking ceremony for an affordable housing project. It presents this project as a solution/intervention for housing needs among older adults. It does not contain any critique, personal perception, or racial bias.","Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The post is a factual announcement about a groundbreaking ceremony for an affordable housing project. It presents this project as a solution/intervention for housing needs among older adults. It does not contain any critique, personal perception, or racial bias.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"The deal to build a new homeless intake center in [ORGANIZATION] is close to completion.
[URL]",south bend,provide a fact or claim,,solutions/interventions,"[]
racist: [No]
Reasoning: The post is a neutral, factual statement about the progress of building a homeless intake center, which is a type of solution/intervention. It does not contain any opinions, critiques, or personal perceptions.",No,"The post is a neutral, factual statement about the progress of building a homeless intake center, which is a type of solution/intervention. It does not contain any opinions, critiques, or personal perceptions.","Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The post is a neutral, factual statement about the progress of building a homeless intake center, which is a type of solution/intervention. It does not contain any opinions, critiques, or personal perceptions.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
