Comment,City,Raw Response
A [ORGANIZATION]-based startup working to end homelessness will have the chance to win $1 million DATE0. [URL],fayetteville,"Comment Type: [provide a fact or claim]  
Critique Category: []  
Response Category: [solutions/interventions]  
Perception Type: []  
racist: [No]  
Reasoning: The post shares a factual statement about a startup competing for funding to address homelessness, which implies a potential intervention. There is no critique, perception, or racial bias present."
FOR IMMEDIATE RELEASE: ALL THINGS AFFORDABLE HOUSING SUMMIT [URL]  #tapin #affordablehousing #rockfordhousing #landlords #residents #rockfordil [ORGANIZATION],rockford,"Comment Type: [provide a fact or claim]  
Critique Category: []  
Response Category: [solutions/interventions]  
Perception Type: []  
racist: [No]  
Reasoning: The post announces an event focused on affordable housing, which is a factual statement. It does not critique money allocation, government, or society, but the summit itself implies a discussion of solutions/interventions. There is no personal perception or racial content present."
[ORGANIZATION] heatwave puts [ORGANIZATION]’s homeless at risk [URL] [URL],rockford,"Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: []
Perception Type: []
racist: [No]
Reasoning: The post states a factual claim about a heatwave putting homeless people at risk, without expressing an opinion, critique, or proposing solutions. There are no references to personal interaction, media portrayal, stereotypes, or deservingness, and no racial bias is present."
"[ORGANIZATION] needs to get a grip with reality and understand that they are not the center of this state. [PERSON] is an ongoing issue in [ORGANIZATION], and their claims of a few more tents in the city warranting a state of emergency is abhorrent.",rockford,"Comment Type: [express their opinion, provide a fact or claim]  
Critique Category: [government critique, societal critique]  
Response Category: []  
Perception Type: []  
racist: [No]  
Reasoning: The commenter expresses their opinion that the organization is overreacting to homelessness (""abhorrent""), provides a claim about homelessness being an ongoing issue, and critiques both the government’s and society’s response. There is no discussion of solutions, personal interaction, or racial bias."
"[USER] I got 3 new medical problems after being forced to get 2 covid [ORGANIZATION]; 2 boosters. I literally ended up homeless during a pandemic! My [PERSON] no longer works. Caused weight gain, now I'm on medication for diabetes. Severe Eczema DATE0 now.",scranton,"Comment Type: [provide a fact or claim, provide an observation, express their opinion]
Critique Category: []
Response Category: []
Perception Type: [personal interaction]
racist: [No]
Reasoning: The commenter shares their personal experience of becoming homeless after medical issues related to COVID-19 vaccination, describing new health problems and their impact. This is a personal account (observation/fact/claim/opinion), not a critique of systems or policies, nor does it propose solutions. It is not racist and centers on direct personal interaction with homelessness."
"[ORGANIZATION]: Green, [ORGANIZATION] To Bring Old Lots New Life  [URL]",scranton,"Comment Type: [provide a fact or claim]  
Critique Category: []  
Response Category: [solutions/interventions]  
Perception Type: []  
racist: [No]  
Reasoning: The comment shares a factual statement about an initiative to revitalize old lots, which implies a solution or intervention related to urban development (potentially impacting homelessness). There is no critique, perception, or racial bias present."
[USER] Poor [ORGANIZATION] has been an awful filthy town since [ORGANIZATION] so all the sudden you’re gonna raise it from the homeless death that it is?  No you’re talking gibberish,scranton,"Comment Type: [express their opinion, provide an observation, ask a rhetorical question]  
Critique Category: [societal critique]  
Response Category: []  
Perception Type: [harmful generalization]  
racist: [No]  
Reasoning: The commenter expresses a negative opinion about the town, observes its condition, and uses a rhetorical question to challenge the idea of improvement. The language (""awful filthy town,"" ""homeless death"") generalizes negatively about the place and its association with homelessness, reflecting societal critique and a harmful generalization, but there is no explicit or implicit racial bias."
"75/[ADDRESS] appt DATE0 

Final🤞🏻post surgery (cervical fusion) appt w/neurosurgeon in [ORGANIZATION] on [LOCATION]. Funds to cover 2 tanks gas &amp; wiper blades for the van. Please help an old homeless nonbinary queer w/no fam survive and learn to thrive💜 [URL]",fayetteville,"Comment Type: [provide a fact or claim, express their opinion]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: [personal interaction]
racist: [No]
Reasoning: The post shares factual information about a medical appointment and the need for funds, and expresses a personal plea for help. It does not critique money allocation, government, or society, but directly seeks a solution/intervention (financial help). The speaker references their own experience as a homeless person, indicating personal interaction. There is no racial bias present."
[USER] Yeah I'm not homeless anymore but I was homeless with my mother for [ORGANIZATION]. It's great to be off the streets [LOCATION] in the [STREET] I'm at. Not a lot of shelters here in [PERSON] though people feed you on the streets,fayetteville,"Comment Type: [provide a fact or claim, provide an observation, express their opinion, personal interaction]
Critique Category: []
Response Category: []
Perception Type: [personal interaction]
racist: [No]
Reasoning: The commenter shares their personal experience of having been homeless, provides factual information about the lack of shelters, observes that people feed those on the streets, and expresses positive feelings about no longer being homeless. There is no critique of money allocation, government, or society, nor are there solutions or interventions proposed. The perception is based on direct personal interaction, and there is no racial bias present."
[USER] Isn't [ORGANIZATION] homeless?  Have fun finding him PERSON1!! Once the [ORGANIZATION] lawsuit is dismissed and [ORGANIZATION] wins her lawsuit you will be laying on the kitchen floor pissing yourself trying to text the [ORGANIZATION] girl in between slugs of liquor!!!,scranton,"Comment Type: [ask a genuine question, express their opinion]
Critique Category: []
Response Category: []
Perception Type: [harmful generalization]
racist: [No]
Reasoning: The comment begins with a genuine question about whether someone is homeless, then shifts to expressing a negative opinion and making derogatory predictions about the person's future. It contains a harmful generalization by associating homelessness with substance abuse and personal failure. There is no explicit or implicit racial bias present. No critique of money, government, or society is made, nor are solutions/interventions discussed."
