Comment,City,Comment Type,Critique Category,Response Category,Perception Type,racist,Reasoning,Raw Response,Comment_ask a genuine question,Comment_ask a rhetorical question,Comment_provide a fact or claim,Comment_provide an observation,Comment_express their opinion,Comment_express others opinions,Critique_money aid allocation,Critique_government critique,Critique_societal critique,Response_solutions/interventions,Perception_personal interaction,Perception_media portrayal,Perception_not in my backyard,Perception_harmful generalization,Perception_deserving/undeserving,Racist_Flag
Group behind new low-barrier [INSTITUTION] in [ORGANIZATION] embarks on next steps [URL],south bend,provide a fact or claim,none,none,"[none]  
racist: No  
Reasoning: The comment simply states that a group is moving forward with the next steps for a new low-barrier institution, providing a factual update. There is no critique, response, perception, or racial bias present.",No,"The comment simply states that a group is moving forward with the next steps for a new low-barrier institution, providing a factual update. There is no critique, response, perception, or racial bias present.","Comment Type: provide a fact or claim  
Critique Category: [none]  
Response Category: [none]  
Perception Type: [none]  
racist: No  
Reasoning: The comment simply states that a group is moving forward with the next steps for a new low-barrier institution, providing a factual update. There is no critique, response, perception, or racial bias present.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Since you're all here, please consider donating to [ORGANIZATION]. They do wonderful work for the poor, and your kindness is especially appreciated during the frigid [ORGANIZATION]. [URL]",south bend,"express their opinion, provide an observation",,solutions/interventions,"[]  
racist: [No]  
Reasoning: The speaker expresses a positive opinion about the organization’s work and observes that kindness is appreciated during cold weather. They encourage charitable action (donation), which is a solution/intervention. There is no critique, perception type, or racial bias present.",No,"The speaker expresses a positive opinion about the organization’s work and observes that kindness is appreciated during cold weather. They encourage charitable action (donation), which is a solution/intervention. There is no critique, perception type, or racial bias present.","Comment Type: [express their opinion, provide an observation]  
Critique Category: []  
Response Category: [solutions/interventions]  
Perception Type: []  
racist: [No]  
Reasoning: The speaker expresses a positive opinion about the organization’s work and observes that kindness is appreciated during cold weather. They encourage charitable action (donation), which is a solution/intervention. There is no critique, perception type, or racial bias present.",0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"813 S. FAC0 ([ORGANIZATION])
[ORGANIZATION] 

[TIME]: They advised this was NOT a car that rolled over. Sounds like they said  “cart”. The patient is alert.

#SouthBend [URL]",south bend,"provide a fact or claim, provide an observation",none,none,"[none]  
racist: No  
Reasoning: The comment relays information about an incident involving a ""cart"" and clarifies that it was not a car rollover. It provides factual details and an observation about the patient's condition. There is no critique, response, perception, or racial bias present.",No,"The comment relays information about an incident involving a ""cart"" and clarifies that it was not a car rollover. It provides factual details and an observation about the patient's condition. There is no critique, response, perception, or racial bias present.","Comment Type: provide a fact or claim, provide an observation  
Critique Category: [none]  
Response Category: [none]  
Perception Type: [none]  
racist: No  
Reasoning: The comment relays information about an incident involving a ""cart"" and clarifies that it was not a car rollover. It provides factual details and an observation about the patient's condition. There is no critique, response, perception, or racial bias present.",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Local organizations teaming up and camping out to raise awareness and collect donations for those who are homeless in [ORGANIZATION]. [USER] has more on the seventh DATE0 ""Sleep-Out for the Homeless""
[URL]",south bend,"provide a fact or claim, provide an observation",none,solutions/interventions,"[none]  
racist: No  
Reasoning: The comment reports on local organizations collaborating to raise awareness and collect donations for homeless individuals, which is a factual statement and observation. It does not critique money, government, or society, but it does reference a charitable intervention (the sleep-out event). There is no personal interaction, media portrayal, NIMBY sentiment, harmful generalization, or deserving/undeserving framing. No racial bias is present.",No,"The comment reports on local organizations collaborating to raise awareness and collect donations for homeless individuals, which is a factual statement and observation. It does not critique money, government, or society, but it does reference a charitable intervention (the sleep-out event). There is no personal interaction, media portrayal, NIMBY sentiment, harmful generalization, or deserving/undeserving framing. No racial bias is present.","Comment Type: provide a fact or claim, provide an observation  
Critique Category: [none]  
Response Category: solutions/interventions  
Perception Type: [none]  
racist: No  
Reasoning: The comment reports on local organizations collaborating to raise awareness and collect donations for homeless individuals, which is a factual statement and observation. It does not critique money, government, or society, but it does reference a charitable intervention (the sleep-out event). There is no personal interaction, media portrayal, NIMBY sentiment, harmful generalization, or deserving/undeserving framing. No racial bias is present.",0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0
"#[PERSON]: A [ORGANIZATION] family served [ORGANIZATION] dinner to more than 100 homeless people [LOCATION], and are planning on helping even more DATE2!

[LOCATION]",south bend,"provide a fact or claim, provide an observation",,solutions/interventions,"[]  
racist: [No]  
Reasoning: The comment reports a factual event (a family serving dinner to homeless people) and observes their intention to help more in the future. It does not critique money, government, or society, nor does it reference personal interaction, media portrayal, NIMBYism, generalizations, or deservingness. It describes a charitable intervention and contains no racial bias.",No,"The comment reports a factual event (a family serving dinner to homeless people) and observes their intention to help more in the future. It does not critique money, government, or society, nor does it reference personal interaction, media portrayal, NIMBYism, generalizations, or deservingness. It describes a charitable intervention and contains no racial bias.","Comment Type: [provide a fact or claim, provide an observation]  
Critique Category: []  
Response Category: [solutions/interventions]  
Perception Type: []  
racist: [No]  
Reasoning: The comment reports a factual event (a family serving dinner to homeless people) and observes their intention to help more in the future. It does not critique money, government, or society, nor does it reference personal interaction, media portrayal, NIMBYism, generalizations, or deservingness. It describes a charitable intervention and contains no racial bias.",0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
"3535 [ORGANIZATION] ([ORGANIZATION])
[PERSON] 135

Unwanted Person

Caller advising of a homeless person sleeping on the property. The person has been asked to leave multiple times. 

#[PERSON]",south bend,"provide a fact or claim, provide an observation",,,"not in my backyard  
racist: No  
Reasoning: The comment reports a homeless person sleeping on private property and notes that they have been asked to leave multiple times. This is a factual observation and claim about the situation. There is no critique of money, government, or society, nor is there a proposed solution. The framing of the person as ""unwanted"" and the call to remove them reflects a ""not in my backyard"" perception, where the presence of homelessness is opposed in a specific local context. There is no evidence of racial bias in the comment.",No,"The comment reports a homeless person sleeping on private property and notes that they have been asked to leave multiple times. This is a factual observation and claim about the situation. There is no critique of money, government, or society, nor is there a proposed solution. The framing of the person as ""unwanted"" and the call to remove them reflects a ""not in my backyard"" perception, where the presence of homelessness is opposed in a specific local context. There is no evidence of racial bias in the comment.","Comment Type: provide a fact or claim, provide an observation  
Critique Category: none  
Response Category: none  
Perception Type: not in my backyard  
racist: No  
Reasoning: The comment reports a homeless person sleeping on private property and notes that they have been asked to leave multiple times. This is a factual observation and claim about the situation. There is no critique of money, government, or society, nor is there a proposed solution. The framing of the person as ""unwanted"" and the call to remove them reflects a ""not in my backyard"" perception, where the presence of homelessness is opposed in a specific local context. There is no evidence of racial bias in the comment.",0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
[USER] Ran GPE0 into a shit.  hole. High crime and homelessness. Taxes went through the roof. Don’t be a hypocrite,south bend,"provide a fact or claim, express their opinion",government critique,,"[]
racist: No
Reasoning: The commenter claims that ""Ran GPE0 into a shit. hole. High crime and homelessness. Taxes went through the roof, "" which is both a claim about the state of GPE0 and an expression of their negative opinion. The critique is directed at whoever ""ran"" GPE0, implying government or leadership failure. There is no discussion of solutions, personal interaction, media portrayal, NIMBYism, harmful generalization, or deservingness, nor is there any racial bias present.",No,"The commenter claims that ""Ran GPE0 into a shit. hole. High crime and homelessness. Taxes went through the roof,"" which is both a claim about the state of GPE0 and an expression of their negative opinion. The critique is directed at whoever ""ran"" GPE0, implying government or leadership failure. There is no discussion of solutions, personal interaction, media portrayal, NIMBYism, harmful generalization, or deservingness, nor is there any racial bias present.","Comment Type: [provide a fact or claim, express their opinion]
Critique Category: [government critique]
Response Category: []
Perception Type: []
racist: No
Reasoning: The commenter claims that ""Ran GPE0 into a shit. hole. High crime and homelessness. Taxes went through the roof,"" which is both a claim about the state of GPE0 and an expression of their negative opinion. The critique is directed at whoever ""ran"" GPE0, implying government or leadership failure. There is no discussion of solutions, personal interaction, media portrayal, NIMBYism, harmful generalization, or deservingness, nor is there any racial bias present.",0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0
PERSON0 You couldn’t even fill the potholes in [ORGANIZATION]. You forced Americans out of jobs and affordable housing to favor illegals. [ORGANIZATION] is still a shithole.,south bend,"express their opinion, provide a fact or claim, provide an observation","government critique, societal critique",,"[harmful generalization, deserving/undeserving]
racist: [Yes]
Reasoning: The commenter expresses strong negative opinions about [ORGANIZATION], claims that Americans were forced out of jobs and housing to ""favor illegals, "" and observes that the area is still in poor condition. This critiques government actions and societal priorities. The language contains harmful generalizations about immigrants (""illegals"") and implies that certain groups are more deserving of aid or opportunity, which is both a harmful generalization and a deserving/undeserving judgment. The use of ""illegals"" and blaming them for social issues is racially coded and xenophobic, thus the comment is classified as racist.",No,"The commenter expresses strong negative opinions about [ORGANIZATION], claims that Americans were forced out of jobs and housing to ""favor illegals,"" and observes that the area is still in poor condition. This critiques government actions and societal priorities. The language contains harmful generalizations about immigrants (""illegals"") and implies that certain groups are more deserving of aid or opportunity, which is both a harmful generalization and a deserving/undeserving judgment. The use of ""illegals"" and blaming them for social issues is racially coded and xenophobic, thus the comment is classified as racist.","Comment Type: [express their opinion, provide a fact or claim, provide an observation]
Critique Category: [government critique, societal critique]
Response Category: []
Perception Type: [harmful generalization, deserving/undeserving]
racist: [Yes]
Reasoning: The commenter expresses strong negative opinions about [ORGANIZATION], claims that Americans were forced out of jobs and housing to ""favor illegals,"" and observes that the area is still in poor condition. This critiques government actions and societal priorities. The language contains harmful generalizations about immigrants (""illegals"") and implies that certain groups are more deserving of aid or opportunity, which is both a harmful generalization and a deserving/undeserving judgment. The use of ""illegals"" and blaming them for social issues is racially coded and xenophobic, thus the comment is classified as racist.",0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0
[USER] Sandwiches for the many homeless in [PERSON].,south bend,provide an observation,none,solutions/interventions,"[none]  
racist: No  
Reasoning: The comment observes that sandwiches are being provided for many homeless people, which implies a charitable action (solution/intervention). There is no critique, personal interaction, or racial bias present.",No,"The comment observes that sandwiches are being provided for many homeless people, which implies a charitable action (solution/intervention). There is no critique, personal interaction, or racial bias present.","Comment Type: provide an observation  
Critique Category: [none]  
Response Category: solutions/interventions  
Perception Type: [none]  
racist: No  
Reasoning: The comment observes that sandwiches are being provided for many homeless people, which implies a charitable action (solution/intervention). There is no critique, personal interaction, or racial bias present.",0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"[ORGANIZATION], a #nationwide #nonprofit #provider of affordable #multifamily #housing for older #adults, held a ground-breaking #ceremony for FAC0 in [ORGANIZATION], [PERSON].

[URL]",south bend,provide a fact or claim,none,solutions/interventions,"[none]  
racist: No  
Reasoning: The post provides a factual statement about a nonprofit organization holding a groundbreaking ceremony for affordable housing, which is a solution/intervention related to homelessness. There is no critique, personal perception, or racial bias present.",No,"The post provides a factual statement about a nonprofit organization holding a groundbreaking ceremony for affordable housing, which is a solution/intervention related to homelessness. There is no critique, personal perception, or racial bias present.","Comment Type: provide a fact or claim  
Critique Category: [none]  
Response Category: solutions/interventions  
Perception Type: [none]  
racist: No  
Reasoning: The post provides a factual statement about a nonprofit organization holding a groundbreaking ceremony for affordable housing, which is a solution/intervention related to homelessness. There is no critique, personal perception, or racial bias present.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
