Comment,City,Comment Type,Critique Category,Response Category,Perception Type,racist,Reasoning,Raw Response,Comment_ask a genuine question,Comment_ask a rhetorical question,Comment_provide a fact or claim,Comment_provide an observation,Comment_express their opinion,Comment_express others opinions,Critique_money aid allocation,Critique_government critique,Critique_societal critique,Response_solutions/interventions,Perception_personal interaction,Perception_media portrayal,Perception_not in my backyard,Perception_harmful generalization,Perception_deserving/undeserving,Racist_Flag
"Since you're all here, please consider donating to [ORGANIZATION]. They do wonderful work for the poor, and your kindness is especially appreciated during the frigid [ORGANIZATION]. [URL]",south bend,express their opinion,,solutions/interventions,"[]
racist: [No]
Reasoning: The commenter is expressing a positive opinion about the organization and encouraging donations, which is a call for charitable intervention. There is no critique of money allocation, government, or society, nor any perception type or racial bias present.",No,"The commenter is expressing a positive opinion about the organization and encouraging donations, which is a call for charitable intervention. There is no critique of money allocation, government, or society, nor any perception type or racial bias present.","Comment Type: [express their opinion]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The commenter is expressing a positive opinion about the organization and encouraging donations, which is a call for charitable intervention. There is no critique of money allocation, government, or society, nor any perception type or racial bias present.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"#[PERSON]: A [ORGANIZATION] family served [ORGANIZATION] dinner to more than 100 homeless people [LOCATION], and are planning on helping even more DATE2!

[LOCATION]",south bend,"provide a fact or claim, provide an observation",,solutions/interventions,"[]
racist: [No]
Reasoning: The post shares a factual statement and observation about a family serving dinner to homeless people and planning to help more, highlighting a charitable action (solution/intervention). There is no critique, perception type, or racial bias present.",No,"The post shares a factual statement and observation about a family serving dinner to homeless people and planning to help more, highlighting a charitable action (solution/intervention). There is no critique, perception type, or racial bias present.","Comment Type: [provide a fact or claim, provide an observation]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The post shares a factual statement and observation about a family serving dinner to homeless people and planning to help more, highlighting a charitable action (solution/intervention). There is no critique, perception type, or racial bias present.",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"Local organizations teaming up and camping out to raise awareness and collect donations for those who are homeless in [ORGANIZATION]. [USER] has more on the seventh DATE0 ""Sleep-Out for the Homeless""
[URL]",south bend,"provide a fact or claim, provide an observation",,solutions/interventions,"[]  
racist: [No]  
Reasoning: The post reports on local organizations collaborating to raise awareness and collect donations for homeless individuals, which is both a factual statement and an observation. It does not critique money allocation, government, or society, but it does describe a charitable intervention. There is no personal interaction, media portrayal, NIMBY sentiment, harmful generalization, or deserving/undeserving framing. No racial bias is present.",No,"The post reports on local organizations collaborating to raise awareness and collect donations for homeless individuals, which is both a factual statement and an observation. It does not critique money allocation, government, or society, but it does describe a charitable intervention. There is no personal interaction, media portrayal, NIMBY sentiment, harmful generalization, or deserving/undeserving framing. No racial bias is present.","Comment Type: [provide a fact or claim, provide an observation]  
Critique Category: []  
Response Category: [solutions/interventions]  
Perception Type: []  
racist: [No]  
Reasoning: The post reports on local organizations collaborating to raise awareness and collect donations for homeless individuals, which is both a factual statement and an observation. It does not critique money allocation, government, or society, but it does describe a charitable intervention. There is no personal interaction, media portrayal, NIMBY sentiment, harmful generalization, or deserving/undeserving framing. No racial bias is present.",0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0
"813 S. FAC0 ([ORGANIZATION])
[ORGANIZATION] 

[TIME]: They advised this was NOT a car that rolled over. Sounds like they said  “cart”. The patient is alert.

#SouthBend [URL]",south bend,"provide a fact or claim, provide an observation",,,"[]  
racist: [No]  
Reasoning: The post reports an incident involving a ""cart"" rather than a car, and notes the patient's condition. It provides factual information and an observation about the situation, but does not critique policy, suggest solutions, or express opinions or perceptions about homelessness or PEH. There is no racial content.",No,"The post reports an incident involving a ""cart"" rather than a car, and notes the patient's condition. It provides factual information and an observation about the situation, but does not critique policy, suggest solutions, or express opinions or perceptions about homelessness or PEH. There is no racial content.","Comment Type: [provide a fact or claim, provide an observation]  
Critique Category: []  
Response Category: []  
Perception Type: []  
racist: [No]  
Reasoning: The post reports an incident involving a ""cart"" rather than a car, and notes the patient's condition. It provides factual information and an observation about the situation, but does not critique policy, suggest solutions, or express opinions or perceptions about homelessness or PEH. There is no racial content.",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
PERSON0 You couldn’t even fill the potholes in [ORGANIZATION]. You forced Americans out of jobs and affordable housing to favor illegals. [ORGANIZATION] is still a shithole.,south bend,"express their opinion, provide a fact or claim","government critique, societal critique",,"[harmful generalization, deserving/undeserving]
racist: [Yes]
Reasoning: The commenter expresses their negative opinion about local governance and claims that Americans were displaced from jobs and housing in favor of ""illegals, "" which is a harmful generalization and implies undeservingness. The language and framing contain implicit racial/national bias against migrants. The critique targets both government actions and societal outcomes. No solutions are proposed.",No,"The commenter expresses their negative opinion about local governance and claims that Americans were displaced from jobs and housing in favor of ""illegals,"" which is a harmful generalization and implies undeservingness. The language and framing contain implicit racial/national bias against migrants. The critique targets both government actions and societal outcomes. No solutions are proposed.","Comment Type: [express their opinion, provide a fact or claim]
Critique Category: [government critique, societal critique]
Response Category: []
Perception Type: [harmful generalization, deserving/undeserving]
racist: [Yes]
Reasoning: The commenter expresses their negative opinion about local governance and claims that Americans were displaced from jobs and housing in favor of ""illegals,"" which is a harmful generalization and implies undeservingness. The language and framing contain implicit racial/national bias against migrants. The critique targets both government actions and societal outcomes. No solutions are proposed.",0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0
Group behind new low-barrier [INSTITUTION] in [ORGANIZATION] embarks on next steps [URL],south bend,provide a fact or claim,,solutions/interventions,"[]  
racist: [No]  
Reasoning: The post reports that a group is moving forward with new steps related to a low-barrier institution, which is a factual claim. It references an intervention (the low-barrier institution) but does not critique money, government, or society, nor does it express opinions or perceptions about PEH. There is no racial content.",No,"The post reports that a group is moving forward with new steps related to a low-barrier institution, which is a factual claim. It references an intervention (the low-barrier institution) but does not critique money, government, or society, nor does it express opinions or perceptions about PEH. There is no racial content.","Comment Type: [provide a fact or claim]  
Critique Category: []  
Response Category: [solutions/interventions]  
Perception Type: []  
racist: [No]  
Reasoning: The post reports that a group is moving forward with new steps related to a low-barrier institution, which is a factual claim. It references an intervention (the low-barrier institution) but does not critique money, government, or society, nor does it express opinions or perceptions about PEH. There is no racial content.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
[USER] Ran GPE0 into a shit.  hole. High crime and homelessness. Taxes went through the roof. Don’t be a hypocrite,south bend,"provide a fact or claim, express their opinion","government critique, societal critique",,"[]
racist: [No]
Reasoning: The commenter claims that the user ""ran GPE0 into a shit hole"" with ""high crime and homelessness"" and ""taxes went through the roof, "" which are factual claims (though possibly exaggerated or opinion-based) and expresses a negative opinion about the user's leadership. The critique targets government performance and, to a lesser extent, societal outcomes. There is no discussion of solutions, no personal or media perceptions, and no racial bias present.",No,"The commenter claims that the user ""ran GPE0 into a shit hole"" with ""high crime and homelessness"" and ""taxes went through the roof,"" which are factual claims (though possibly exaggerated or opinion-based) and expresses a negative opinion about the user's leadership. The critique targets government performance and, to a lesser extent, societal outcomes. There is no discussion of solutions, no personal or media perceptions, and no racial bias present.","Comment Type: [provide a fact or claim, express their opinion]
Critique Category: [government critique, societal critique]
Response Category: []
Perception Type: []
racist: [No]
Reasoning: The commenter claims that the user ""ran GPE0 into a shit hole"" with ""high crime and homelessness"" and ""taxes went through the roof,"" which are factual claims (though possibly exaggerated or opinion-based) and expresses a negative opinion about the user's leadership. The critique targets government performance and, to a lesser extent, societal outcomes. There is no discussion of solutions, no personal or media perceptions, and no racial bias present.",0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
"3535 [ORGANIZATION] ([ORGANIZATION])
[PERSON] 135

Unwanted Person

Caller advising of a homeless person sleeping on the property. The person has been asked to leave multiple times. 

#[PERSON]",south bend,"provide a fact or claim, provide an observation",,,"[not in my backyard]
racist: [No]
Reasoning: The post reports a situation where a homeless person is sleeping on private property and has been repeatedly asked to leave. This is a factual observation of an incident and reflects a ""not in my backyard"" attitude, as the presence of the homeless person is described as ""unwanted."" There is no critique of policy, allocation, or society, nor is there a solution proposed. No racial bias is present.",No,"The post reports a situation where a homeless person is sleeping on private property and has been repeatedly asked to leave. This is a factual observation of an incident and reflects a ""not in my backyard"" attitude, as the presence of the homeless person is described as ""unwanted."" There is no critique of policy, allocation, or society, nor is there a solution proposed. No racial bias is present.","Comment Type: [provide a fact or claim, provide an observation]
Critique Category: []
Response Category: []
Perception Type: [not in my backyard]
racist: [No]
Reasoning: The post reports a situation where a homeless person is sleeping on private property and has been repeatedly asked to leave. This is a factual observation of an incident and reflects a ""not in my backyard"" attitude, as the presence of the homeless person is described as ""unwanted."" There is no critique of policy, allocation, or society, nor is there a solution proposed. No racial bias is present.",0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"[ORGANIZATION], a #nationwide #nonprofit #provider of affordable #multifamily #housing for older #adults, held a ground-breaking #ceremony for FAC0 in [ORGANIZATION], [PERSON].

[URL]",south bend,provide a fact or claim,,solutions/interventions,"[]  
racist: [No]  
Reasoning: The post reports a factual event (a nonprofit holding a groundbreaking ceremony for affordable housing for older adults). It does not critique money allocation, government, or society, but it does reference a solution/intervention (affordable housing development). There are no personal perceptions or racial elements present.",No,"The post reports a factual event (a nonprofit holding a groundbreaking ceremony for affordable housing for older adults). It does not critique money allocation, government, or society, but it does reference a solution/intervention (affordable housing development). There are no personal perceptions or racial elements present.","Comment Type: [provide a fact or claim]  
Critique Category: []  
Response Category: [solutions/interventions]  
Perception Type: []  
racist: [No]  
Reasoning: The post reports a factual event (a nonprofit holding a groundbreaking ceremony for affordable housing for older adults). It does not critique money allocation, government, or society, but it does reference a solution/intervention (affordable housing development). There are no personal perceptions or racial elements present.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
[USER] Sandwiches for the many homeless in [PERSON].,south bend,provide an observation,,solutions/interventions,"[]
racist: [No]
Reasoning: The comment observes that sandwiches are being provided for many homeless people, implying a charitable action (solution/intervention), but does not critique any system or allocation, nor does it express bias or stereotypes.",No,"The comment observes that sandwiches are being provided for many homeless people, implying a charitable action (solution/intervention), but does not critique any system or allocation, nor does it express bias or stereotypes.","Comment Type: [provide an observation]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The comment observes that sandwiches are being provided for many homeless people, implying a charitable action (solution/intervention), but does not critique any system or allocation, nor does it express bias or stereotypes.",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
