Comment,City,Comment Type,Critique Category,Response Category,Perception Type,racist,Reasoning,Raw Response,Comment_ask a genuine question,Comment_ask a rhetorical question,Comment_provide a fact or claim,Comment_provide an observation,Comment_express their opinion,Comment_express others opinions,Critique_money aid allocation,Critique_government critique,Critique_societal critique,Response_solutions/interventions,Perception_personal interaction,Perception_media portrayal,Perception_not in my backyard,Perception_harmful generalization,Perception_deserving/undeserving,Racist_Flag
[USER] Ran GPE0 into a shit.  hole. High crime and homelessness. Taxes went through the roof. Don’t be a hypocrite,south bend,"provide a fact or claim, provide an observation, express their opinion","money aid allocation, government critique",,,No,No reasoning provided.,"Comment Type: [provide a fact or claim, provide an observation, express their opinion]
Critique Category: [money aid allocation, government critique]
Response Category: []
",0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
"Since you're all here, please consider donating to [ORGANIZATION]. They do wonderful work for the poor, and your kindness is especially appreciated during the frigid [ORGANIZATION]. [URL]",south bend,"provide a fact or claim, express their opinion",,solutions/interventions,"[]
Racist: [No]
Reasoning: The post makes a positive claim about an organization's work and expresses the speaker's supportive opinion by encouraging donations, which qualifies as a solution/intervention via charitable action; no critiques, perceptions, or racial elements are present.",No,"The post makes a positive claim about an organization's work and expresses the speaker's supportive opinion by encouraging donations, which qualifies as a solution/intervention via charitable action; no critiques, perceptions, or racial elements are present.","Comment Type: [provide a fact or claim, express their opinion]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
Racist: [No]
Reasoning: The post makes a positive claim about an organization's work and expresses the speaker's supportive opinion by encouraging donations, which qualifies as a solution/intervention via charitable action; no critiques, perceptions, or racial elements are present.",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"Local organizations teaming up and camping out to raise awareness and collect donations for those who are homeless in [ORGANIZATION]. [USER] has more on the seventh DATE0 ""Sleep-Out for the Homeless""
[URL]",south bend,provide a fact or claim,,solutions/interventions,"[]
Racist: [No]
Reasoning: The comment reports factual information about a positive event (organizations camping out to raise awareness and donations for homelessness), which qualifies as providing a fact/claim and discussing a solution/intervention; it lacks critiques, questions, opinions, perceptions, or any racial bias.",No,"The comment reports factual information about a positive event (organizations camping out to raise awareness and donations for homelessness), which qualifies as providing a fact/claim and discussing a solution/intervention; it lacks critiques, questions, opinions, perceptions, or any racial bias.","Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
Racist: [No]
Reasoning: The comment reports factual information about a positive event (organizations camping out to raise awareness and donations for homelessness), which qualifies as providing a fact/claim and discussing a solution/intervention; it lacks critiques, questions, opinions, perceptions, or any racial bias.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Group behind new low-barrier [INSTITUTION] in [ORGANIZATION] embarks on next steps [URL],south bend,provide a fact or claim,,solutions/interventions,"[]
Racist: [No]
Reasoning: The post shares neutral information about a group advancing a low-barrier institution (likely a homelessness-related facility), qualifying as a fact/claim and implying a solution/intervention; no critiques, perceptions, questions, opinions, or racial bias are present.",No,"The post shares neutral information about a group advancing a low-barrier institution (likely a homelessness-related facility), qualifying as a fact/claim and implying a solution/intervention; no critiques, perceptions, questions, opinions, or racial bias are present.","Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
Racist: [No]
Reasoning: The post shares neutral information about a group advancing a low-barrier institution (likely a homelessness-related facility), qualifying as a fact/claim and implying a solution/intervention; no critiques, perceptions, questions, opinions, or racial bias are present.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"813 S. FAC0 ([ORGANIZATION])
[ORGANIZATION] 

[TIME]: They advised this was NOT a car that rolled over. Sounds like they said  “cart”. The patient is alert.

#SouthBend [URL]",south bend,,,,,No,No reasoning provided.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#[PERSON]: A [ORGANIZATION] family served [ORGANIZATION] dinner to more than 100 homeless people [LOCATION], and are planning on helping even more DATE2!

[LOCATION]",south bend,,,,,No,No reasoning provided.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3535 [ORGANIZATION] ([ORGANIZATION])
[PERSON] 135

Unwanted Person

Caller advising of a homeless person sleeping on the property. The person has been asked to leave multiple times. 

#[PERSON]",south bend,[provide a fact or claim,,,,No,No reasoning provided.,"Comment Type: [provide a fact or claim,",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PERSON0 You couldn’t even fill the potholes in [ORGANIZATION]. You forced Americans out of jobs and affordable housing to favor illegals. [ORGANIZATION] is still a shithole.,south bend,,,,,No,No reasoning provided.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The deal to build a new homeless intake center in [ORGANIZATION] is close to completion.
[URL]",south bend,provide a fact or claim,,solutions/interventions,"[]
Racist: [No]
Reasoning: The post shares a neutral factual claim about an upcoming homeless intake center, which qualifies as a solution/intervention, with no critiques, perceptions, opinions, questions, or racial elements present.",No,"The post shares a neutral factual claim about an upcoming homeless intake center, which qualifies as a solution/intervention, with no critiques, perceptions, opinions, questions, or racial elements present.","Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
Racist: [No]
Reasoning: The post shares a neutral factual claim about an upcoming homeless intake center, which qualifies as a solution/intervention, with no critiques, perceptions, opinions, questions, or racial elements present.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"[ORGANIZATION], a #nationwide #nonprofit #provider of affordable #multifamily #housing for older #adults, held a ground-breaking #ceremony for FAC0 in [ORGANIZATION], [PERSON].

[URL]",south bend,provide a fact or claim,,solutions/interventions,"[]
Racist: [No]
Reasoning: The post announces a factual event about a nonprofit's ground-breaking for affordable housing aimed at older adults, which qualifies as providing a fact and discussing a housing intervention as a potential solution to related issues like homelessness; no critiques, perceptions, opinions, questions, or racial bias are present.",No,"The post announces a factual event about a nonprofit's ground-breaking for affordable housing aimed at older adults, which qualifies as providing a fact and discussing a housing intervention as a potential solution to related issues like homelessness; no critiques, perceptions, opinions, questions, or racial bias are present.","Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
Racist: [No]
Reasoning: The post announces a factual event about a nonprofit's ground-breaking for affordable housing aimed at older adults, which qualifies as providing a fact and discussing a housing intervention as a potential solution to related issues like homelessness; no critiques, perceptions, opinions, questions, or racial bias are present.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"[USER] I'd chose ol ""Mayor [PERSON]"" and ask him why he decided to screw up the traffic patterns in [ORGANIZATION] with his screwed up round abouts on [ORGANIZATION] and FAC0 instead of the poverty and homelessness issues that only got worse during his administration.",south bend,,,,,No,No reasoning provided.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[USER] Sandwiches for the many homeless in [PERSON].,south bend,"provide a fact or claim, provide an observation",,,,No,No reasoning provided.,"Comment Type: [provide a fact or claim, provide an observation]
Critique Category:",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"[USER] [USER] address how he treated homeless people in [ORGANIZATION] without pretending being a wealthy gay man who adopted children makes him a saint
[LOCATION]",south bend,,,,,No,No reasoning provided.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[USER] Even with the homeless in the middle of FAC0, [ORGANIZATION] is such a shit hole with the [ORGANIZATION]’s WORST stadium.",south bend,,,,,No,No reasoning provided.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
