Comment,City,Comment Type,Critique Category,Response Category,Perception Type,racist,Reasoning,Raw Response,Comment_ask a genuine question,Comment_ask a rhetorical question,Comment_provide a fact or claim,Comment_provide an observation,Comment_express their opinion,Comment_express others opinions,Critique_money aid allocation,Critique_government critique,Critique_societal critique,Response_solutions/interventions,Perception_personal interaction,Perception_media portrayal,Perception_not in my backyard,Perception_harmful generalization,Perception_deserving/undeserving,Racist_Flag
"Local organizations teaming up and camping out to raise awareness and collect donations for those who are homeless in [ORGANIZATION]. [USER] has more on the seventh DATE0 ""Sleep-Out for the Homeless""
[URL]",south bend,"provide a fact or claim, provide an observation",,solutions/interventions,"[]
Racist: [No]
Reasoning: The post reports factual information about a community event aimed at raising awareness and donations for homelessness, observing local efforts without questions, opinions, or critiques; it highlights a positive intervention but lacks any perceptions or racial elements.",No,"The post reports factual information about a community event aimed at raising awareness and donations for homelessness, observing local efforts without questions, opinions, or critiques; it highlights a positive intervention but lacks any perceptions or racial elements.","Comment Type: [provide a fact or claim, provide an observation]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
Racist: [No]
Reasoning: The post reports factual information about a community event aimed at raising awareness and donations for homelessness, observing local efforts without questions, opinions, or critiques; it highlights a positive intervention but lacks any perceptions or racial elements.",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
[USER] Ran GPE0 into a shit.  hole. High crime and homelessness. Taxes went through the roof. Don’t be a hypocrite,south bend,"provide a fact or claim, express their opinion","money aid allocation, government critique",,"[]
Racist: [No]
Reasoning: The post makes claims about high crime, homelessness, and taxes as outcomes of poor leadership, while expressing an opinion by accusing the subject of hypocrisy; it critiques government management and tax/resource issues without proposing solutions or showing racial bias.",No,"The post makes claims about high crime, homelessness, and taxes as outcomes of poor leadership, while expressing an opinion by accusing the subject of hypocrisy; it critiques government management and tax/resource issues without proposing solutions or showing racial bias.","Comment Type: [provide a fact or claim, express their opinion]
Critique Category: [money aid allocation, government critique]
Response Category: []
Perception Type: []
Racist: [No]
Reasoning: The post makes claims about high crime, homelessness, and taxes as outcomes of poor leadership, while expressing an opinion by accusing the subject of hypocrisy; it critiques government management and tax/resource issues without proposing solutions or showing racial bias.",0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
PERSON0 You couldn’t even fill the potholes in [ORGANIZATION]. You forced Americans out of jobs and affordable housing to favor illegals. [ORGANIZATION] is still a shithole.,south bend,,,,,No,No reasoning provided.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Group behind new low-barrier [INSTITUTION] in [ORGANIZATION] embarks on next steps [URL],south bend,provide a fact or claim,,solutions/interventions,"[]
racist: [No]
Reasoning: The post neutrally reports on progress toward a new low-barrier institution (likely a homelessness-related facility like a shelter), presenting it as a factual update without questions, opinions, critiques, or perceptions; it implies a solution-oriented step but lacks racial elements.",No,"The post neutrally reports on progress toward a new low-barrier institution (likely a homelessness-related facility like a shelter), presenting it as a factual update without questions, opinions, critiques, or perceptions; it implies a solution-oriented step but lacks racial elements.","Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]
Reasoning: The post neutrally reports on progress toward a new low-barrier institution (likely a homelessness-related facility like a shelter), presenting it as a factual update without questions, opinions, critiques, or perceptions; it implies a solution-oriented step but lacks racial elements.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"3535 [ORGANIZATION] ([ORGANIZATION])
[PERSON] 135

Unwanted Person

Caller advising of a homeless person sleeping on the property. The person has been asked to leave multiple times. 

#[PERSON]",south bend,"provide a fact or claim, provide an observation",,,"[personal interaction, not in my backyard]
Racist: [No]
Reasoning: This appears to be a neutral police or dispatch report describing an incident involving a homeless person on private property, providing factual details and an observation of the situation without questions, opinions",No,"This appears to be a neutral police or dispatch report describing an incident involving a homeless person on private property, providing factual details and an observation of the situation without questions, opinions","Comment Type: [provide a fact or claim, provide an observation]
Critique Category: []
Response Category: []
Perception Type: [personal interaction, not in my backyard]
Racist: [No]
Reasoning: This appears to be a neutral police or dispatch report describing an incident involving a homeless person on private property, providing factual details and an observation of the situation without questions, opinions",0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
"Since you're all here, please consider donating to [ORGANIZATION]. They do wonderful work for the poor, and your kindness is especially appreciated during the frigid [ORGANIZATION]. [URL]",south bend,express their opinion,,solutions/interventions,"[]
Racist: [No]
Reasoning: The post promotes donating to an organization helping the poor during cold weather, expressing a positive opinion about the organization's work and encouraging charitable action as a solution; no critiques, negative perceptions, or racial elements are present.",No,"The post promotes donating to an organization helping the poor during cold weather, expressing a positive opinion about the organization's work and encouraging charitable action as a solution; no critiques, negative perceptions, or racial elements are present.","Comment Type: [express their opinion]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
Racist: [No]
Reasoning: The post promotes donating to an organization helping the poor during cold weather, expressing a positive opinion about the organization's work and encouraging charitable action as a solution; no critiques, negative perceptions, or racial elements are present.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"#[PERSON]: A [ORGANIZATION] family served [ORGANIZATION] dinner to more than 100 homeless people [LOCATION], and are planning on helping even more DATE2!

[LOCATION]",south bend,"provide a fact or claim, provide an observation",,solutions/interventions,"[personal interaction]
Racist: [No]
Reasoning: The post shares factual details about a family's charitable action of serving dinner to homeless people and planning more help, which is an observation of a positive event; it highlights a direct intervention without critique, and mentions interaction with homeless individuals without bias or negative perceptions.",No,"The post shares factual details about a family's charitable action of serving dinner to homeless people and planning more help, which is an observation of a positive event; it highlights a direct intervention without critique, and mentions interaction with homeless individuals without bias or negative perceptions.","Comment Type: [provide a fact or claim, provide an observation]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: [personal interaction]
Racist: [No]
Reasoning: The post shares factual details about a family's charitable action of serving dinner to homeless people and planning more help, which is an observation of a positive event; it highlights a direct intervention without critique, and mentions interaction with homeless individuals without bias or negative perceptions.",0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
"813 S. FAC0 ([ORGANIZATION])
[ORGANIZATION] 

[TIME]: They advised this was NOT a car that rolled over. Sounds like they said  “cart”. The patient is alert.

#SouthBend [URL]",south bend,,,,,No,No reasoning provided.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The deal to build a new homeless intake center in [ORGANIZATION] is close to completion.
[URL]",south bend,provide a fact or claim,,solutions/interventions,"[]
Racist: [No]
Reasoning: The post neutrally reports on progress toward building a homeless intake center, presenting it as a factual update without questions, opinions, critiques, or perceptions; it implies a solution via infrastructure development, with no racial elements.",No,"The post neutrally reports on progress toward building a homeless intake center, presenting it as a factual update without questions, opinions, critiques, or perceptions; it implies a solution via infrastructure development, with no racial elements.","Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
Racist: [No]
Reasoning: The post neutrally reports on progress toward building a homeless intake center, presenting it as a factual update without questions, opinions, critiques, or perceptions; it implies a solution via infrastructure development, with no racial elements.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"[ORGANIZATION], a #nationwide #nonprofit #provider of affordable #multifamily #housing for older #adults, held a ground-breaking #ceremony for FAC0 in [ORGANIZATION], [PERSON].

[URL]",south bend,provide a fact or claim,,solutions/interventions,"[]
Racist: [No]
Reasoning: The post is a neutral announcement of a nonprofit's groundbreaking event for affordable housing aimed at older adults, presenting factual information without questions, opinions, critiques, or biased perceptions; it highlights a housing intervention as a positive action.",No,"The post is a neutral announcement of a nonprofit's groundbreaking event for affordable housing aimed at older adults, presenting factual information without questions, opinions, critiques, or biased perceptions; it highlights a housing intervention as a positive action.","Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
Racist: [No]
Reasoning: The post is a neutral announcement of a nonprofit's groundbreaking event for affordable housing aimed at older adults, presenting factual information without questions, opinions, critiques, or biased perceptions; it highlights a housing intervention as a positive action.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
