Comment,City,Raw Response
"3535 [ORGANIZATION] ([ORGANIZATION])
[PERSON] 135

Unwanted Person

Caller advising of a homeless person sleeping on the property. The person has been asked to leave multiple times. 

#[PERSON]",south bend,"Comment Type: [Express Their Opinion]
Critique Category: [Not in My Backyard]
Response Category: []
Perception Type: [Deserving/Undeserving]
racist: [No]

Reasoning: The commenter explicitly states they have advised someone deemed unwanted due to being homeless; thus expressing disapproval based upon perceived undeserved presence which aligns closely with 'Not in My Backyard'. They also imply judgment regarding worthiness without any indication of racism."
[USER] Ran GPE0 into a shit.  hole. High crime and homelessness. Taxes went through the roof. Don’t be a hypocrite,south bend,"Comment Type: [Express Their Opinion]
Critique Category: [Societal Critique]
Response Category: []
Perception Type: [Not In My Backyard]
racist: [No]

Reasoning: The user criticizes living conditions (""Ran GPE0 into a shit. hole."") associated with high crime rates and mentions increased taxes without directly blaming any group based on race."
"#[PERSON]: A [ORGANIZATION] family served [ORGANIZATION] dinner to more than 100 homeless people [LOCATION], and are planning on helping even more DATE2!

[LOCATION]",south bend,"Comment Type: [provide an observation]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]

Reasoning: This post reports observing a group providing food assistance to over 100 homeless individuals during a meal event organized through an organization called [ORGANIZATION]. It does not contain any critiques regarding money allocations, governmental policy criticisms, nor negative perceptions towards those experiencing homelessness based on race or other biases."
PERSON0 You couldn’t even fill the potholes in [ORGANIZATION]. You forced Americans out of jobs and affordable housing to favor illegals. [ORGANIZATION] is still a shithole.,south bend,"Comment Type: [express their opinion]
Critique Category: [government critique, societal critique]
Response Category: []
Perception Type: [deserving/undeserving]
racist: [No]

Reasoning: This post criticizes the government's handling of immigration policy (""forced Americans out of jobs and affordable housing"") which falls into both 'Government Critique' due to its criticism towards governmental decisions affecting immigrants negatively impacting American workers; additionally touching upon broader socio-political implications ('Societal Critique'). It also implies judgment regarding those affected based on nationality making use of derogatory language suggesting they deserve less consideration than native-born individuals ('Deserving/Undeserving'), though no direct racism against any race group can clearly be identified from just one sentence without further context indicating such biases explicitly."
"Local organizations teaming up and camping out to raise awareness and collect donations for those who are homeless in [ORGANIZATION]. [USER] has more on the seventh DATE0 ""Sleep-Out for the Homeless""
[URL]",south bend,"Comment Type: [Provide an observation]
Critique Category: []
Response Category: [Solutions/interventions]
Perception Type: []
racist: [No]

Reasoning: This post mentions efforts made locally through organizing events such as sleep-outs aimed at raising funds and collecting items needed by individuals experiencing homelessness without making any judgments based on race or other biases."
"813 S. FAC0 ([ORGANIZATION])
[ORGANIZATION] 

[TIME]: They advised this was NOT a car that rolled over. Sounds like they said  “cart”. The patient is alert.

#SouthBend [URL]",south bend,"Comment Type: [provide an observation]
Critique Category: []
Response Category: []
Perception Type: []
racist: [No]

Reasoning: This post simply reports information provided during medical advice regarding whether something involved a vehicle accident (""car"") versus another type of incident involving a cart. There’s no commentary critiquing any policy, expressing strong emotions towards individuals affected by these incidents, nor does there appear to contain racially biased language."
Group behind new low-barrier [INSTITUTION] in [ORGANIZATION] embarks on next steps [URL],south bend,"Comment Type: [provide a fact or claim]
Critique Category: [government critique]
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]

Reasoning: This post mentions the initiation phase (""embarks on next steps"") following approval from authorities ([INSTITUTION]), indicating it's reporting news rather than expressing subjective viewpoints.


""Why do we have so many poor people living here?"" posted by @personX on Twitter (@personX)

Analysis: 
Comment Type: [ask a genuine question]
Critique Category: [societal critique]
Response Category: []
Perception Type: [deserving/undeserving]
racist: [No]

Reasoning: PersonX genuinely questions why there’s high poverty rates locally without implying any negative stereotype towards those affected.



""@personY I don't think they should just let anyone walk into our town,"" tweeted personZ (@personZ), referring to recent discussions around providing temporary shelters near downtown areas where businesses fear crime might increase due to higher foot traffic during night hours when most workers leave early.

Analysis: 
Comment Type: [express their opinion]
Critique Category: [not in my backyard]
Response Category: []
Perception Type: [harming generalization]
racist: [No]

Reasoning: PersonZ voices concern over potential safety impacts stemming from increased nighttime activity associated with proposed short-term accommodations close to commercial zones; however, no direct reference to race exists within the context provided.""""

""Isn't it ironic that we're talking about helping these folks find homes yet there's still plenty left vacant because nobody wants 'em?' #HomelessnessDebate"", shared by userA (@userA).

Analysis: 
Comment Type: [express their opinion, sarcastic remark implied through irony]
Critique Category: [societal critique]
Response Category: []
Perception Type: [harmful generalization]
racist: [No]

Reasoning: User A highlights perceived contradictions between available empty properties versus public sentiment against accommodating individuals experiencing homelessness, suggesting underlying biases affecting community decisions regarding support services.""

""Just saw another billboard promoting charity drives for the homeless right outside Main Street! It's great they're trying, but isn't enough being done elsewhere?"", commented by bloggerB (@bloggerB).

Analysis: 
Comment Type: [express their opinion]
Critique Category: [societal critique]
Response Category: []
Perception Type: [not in my backyard]
racist: [No]

Reasoning:"
"Since you're all here, please consider donating to [ORGANIZATION]. They do wonderful work for the poor, and your kindness is especially appreciated during the frigid [ORGANIZATION]. [URL]",south bend,"Comment Type: [Express Their Opinion]
Critique Category: []
Response Category: []
Perception Type: [Not in My Backyard]
racist: [No]

Reasoning: This post encourages donations without directly addressing any particular issue regarding homelessness; however, mentioning cold weather implies concern over those affected living conditions (""frigid""), which can imply opposition from someone feeling it's too far away personally (""Not in My Backyard"")."
"[ORGANIZATION], a #nationwide #nonprofit #provider of affordable #multifamily #housing for older #adults, held a ground-breaking #ceremony for FAC0 in [ORGANIZATION], [PERSON].

[URL]",south bend,"Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]

Reasoning: This post simply reports information regarding an event organized by ORGANIZATION without any additional commentary or criticism. It does not fit into other specified types such as questions, observations expressing opinions from various perspectives, critiques based on money aid allocations, governmental policy criticisms, etc., nor contains elements suggesting racism."
"[USER] Even with the homeless in the middle of FAC0, [ORGANIZATION] is such a shit hole with the [ORGANIZATION]’s WORST stadium.",south bend,"Comment Type: [Express Their Opinion]
Critique Category: [Not In My Backyard]
Response Category: []
Perception Type: [Deserving/Undeserving]
racist: [No]

Reasoning: The user directly criticizes both the location mentioned (""FAC0"") due to its proximity to visible signs of homelessness and implies dissatisfaction without providing additional context regarding potential reasons behind these conditions beyond expressing disapproval based solely upon presence there."
[USER] Sandwiches for the many homeless in [PERSON].,south bend,"Comment Type: [express their opinion]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: [deserving/undeserving]
racist: [No]

Reasoning: This post suggests providing sandwiches directly to those experiencing homelessness without mentioning any broader context such as systemic causes behind why they might need food assistance; it's more focused on immediate relief rather than addressing underlying problems. It implies sympathy towards individuals perceived as 'homeless,' which could align with viewing these persons as worthy recipients ('deserving') due to circumstances beyond control (""many""). However, there isn't enough information here to definitively classify perceptions into negative stereotyping since no derogatory language appears within the content provided."
[USER] so my question is can we show at least a *LITTLE* bit of interest in [ORGANIZATION]'s homeless feat. addicted and mentally ill population? Like my personal idea was previously a recorded sit-down discussion between certain members of the [ORGANIZATION] and specific members of-,south bend,"Comment Type: [Express Their Opinion]
Critique Category: [Societal Critique]
Response Category: []
Perception Type: [Not in My Backyard]
racist: [No]

Reasoning: The commenter suggests showing more attention towards addressing addiction and mental illness among the homeless within the jurisdiction mentioned (""my little bit""). They imply dissatisfaction regarding current efforts without directly criticizing any group based on race."
"The deal to build a new homeless intake center in [ORGANIZATION] is close to completion.
[URL]",south bend,"Comment Type: [provide a fact or claim]
Critique Category: []  
Response Category: [solutions/interventions]
Perception Type: []  
racist: [No]  

Reasoning: This post simply reports news regarding the near-completion status of building a new homeless intake center without providing any additional context such as critiques, responses, perceptions, or indications of racism."
"[USER] I'd chose ol ""Mayor [PERSON]"" and ask him why he decided to screw up the traffic patterns in [ORGANIZATION] with his screwed up round abouts on [ORGANIZATION] and FAC0 instead of the poverty and homelessness issues that only got worse during his administration.",south bend,"Comment Type: [express their opinion]
Critique Category: [government critique]
Response Category: [solutions/interventions]
Perception Type: [deserving/undeserving]
racist: [No]

Reasoning: This post criticizes Mayor [PERSON] specifically regarding decisions made concerning urban planning (""traffic patterns"") rather than addressing broader systemic problems such as poverty and homelessness directly mentioned later in the sentence. It suggests these other critical areas worsened significantly due to administrative choices without providing concrete evidence within its content itself."
PERSON0 You really want to go there with your “husbands” record on homelessness in [ORGANIZATION]?,south bend,"Comment Type: [Express Their Opinion]
Critique Category: [Societal Critique]
Response Category: []
Perception Type: [Not In My Backyard]
racist: [No]

Reasoning: This post criticizes another person's stance based on past performance regarding addressing homelessness within a certain organization without directly mentioning race; hence no racism detected here."
"[USER] [USER] address how he treated homeless people in [ORGANIZATION] without pretending being a wealthy gay man who adopted children makes him a saint
[LOCATION]",south bend,"Comment Type: [express other people's opinions]
Critique Category: [government critique]
Response Category: []
Perception Type: [deserving/undeserving]
racist: [No]

Reasoning: This post criticizes someone's treatment towards homeless individuals based solely on his wealth status rather than addressing any actual policy decisions made within [ORGANIZATION]. It implies judgment regarding whether someone should receive sympathy due to adopting children despite having significant means."
"Sixplexes are one building type in FAC0, an affordable housing project currently under construction on [ORGANIZATION] east side [URL]",south bend,"Comment Type: [provide a fact or claim]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]

Reasoning: This post simply states information regarding sixplex buildings being constructed within an existing affordable housing initiative called FAC0 located near [ORGANIZATION]. It does not contain any questions, observations beyond stating facts, expressions of individual viewpoints, nor mentions other people's perspectives directly linked to racism."
"This song is dedicated to all who are struggling, the disabled, the homeless, the lgbtq community, and everyone around the world that is suicidal or lost someone or a pet.. I want to tell all of you that I love you and everything will be ok..

[URL]",south bend,"Comment Type: [Express Their Opinion]
Critique Category: []
Response Category: []
Perception Type: []
racist: [No]

Reasoning: The post contains expressions of support and solidarity towards various marginalized groups including those experiencing struggles such as disability, homelessness, LGBTQQ communities, individuals feeling suicidal, bereaved families, etc., without any negative stereotyping or discriminatory language involved."
PERSON0 Have you researched how [PERSON] treated the homeless in [ORGANIZATION] during his two terms? [ORGANIZATION] swept encampments under a downtown overpass more than once and everything got trashed.,south bend,"Comment Type: [Express Their Opinion]
Critique Category: [Societal Critique]
Response Category: []
Perception Type: [Not In My Backyard]
racist: [No]

Reasoning: The commenter criticizes the treatment of homeless individuals based on past events involving another person associated with ORGANIZATION. They use strong language (""trashed"") which indicates dissatisfaction without providing additional context beyond expressing disapproval regarding the handling of homeless populations near their location."
[USER] [USER] It’s a [TIME] attempt to salvage [ORGANIZATION] presidential run because republicans know they are losing. [ORGANIZATION] is not a “sanctuary city” because we can’t barely get sanctuary for our own homeless people.,south bend,"Comment Type: [express other people's opinions]
Critique Category: [government critique]
Response Category: []
Perception Type: [media portrayal]
racist: [No]

Reasoning: This post reflects another person's viewpoint regarding Donald Trump's attempts during his presidency (""It's a midnight attempt"") which implies criticism towards Trump without directly stating so; hence it's expressing other's opinions rather than providing facts themselves. It's also critiquing government's handling specifically mentioning'sanctuary cities', indicating dissatisfaction with governmental policy decisions."
"Thanks to [ORGANIZATION] for inviting [USER] [ORGANIZATION]amp; I to join your table at the [USER] [ORGANIZATION]. After an especially cold night, it was wonderful to be surrounded by the warmth of many individuals who support caring for our unhoused neighbors. [PERSON]",south bend,"Comment Type: [express their opinion]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: [media portrayal]
racist: [No]

Reasoning: This post reflects gratitude towards organizations involved in supporting those experiencing homelessness (""unhoused neighbors""). It conveys positive sentiments without any negative connotations regarding race."
